dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.012985,12.999994,0.000040,0.004000,0.200000,10.000000,6.282186
0.020000,0.012976,12.999994,0.000049,0.000432,-0.178377,-18.918830,6.282187
0.020000,0.012957,12.999994,0.000068,0.000973,0.027029,10.270298,6.282189
0.020000,0.012922,12.999994,0.000103,0.001730,0.037841,0.540602,6.282191
0.020000,0.012868,12.999994,0.000157,0.002703,0.048654,0.540624,6.282195
0.020000,0.012790,12.999994,0.000235,0.003892,0.059467,0.540661,6.282201
0.020000,0.012684,12.999994,0.000341,0.005298,0.070281,0.540717,6.282210
0.020000,0.012546,12.999994,0.000479,0.006920,0.081097,0.540793,6.282220
0.020000,0.012371,12.999994,0.000654,0.008758,0.091915,0.540895,6.282234
0.020000,0.012154,12.999994,0.000870,0.010813,0.102736,0.541026,6.282250
0.020000,0.011893,12.999995,0.001132,0.013084,0.113560,0.541189,6.282270
0.020000,0.011581,12.999995,0.001444,0.015572,0.124387,0.541388,6.282294
0.020000,0.011216,12.999995,0.001809,0.018276,0.135220,0.541627,6.282323
0.020000,0.010792,12.999996,0.002233,0.021197,0.146058,0.541910,6.282355
0.020000,0.010305,12.999996,0.002720,0.024335,0.156903,0.542239,6.282393
0.020000,0.009751,12.999996,0.003274,0.027691,0.167755,0.542619,6.282435
0.020000,0.009126,12.999997,0.003899,0.031263,0.178616,0.543053,6.282483
0.020000,0.008425,12.999997,0.004600,0.035053,0.189487,0.543544,6.282537
0.020000,0.007644,12.999998,0.005381,0.039060,0.200369,0.544098,6.282597
0.020000,0.006778,12.999998,0.006247,0.043285,0.211263,0.544716,6.282664
0.020000,0.005824,12.999999,0.007201,0.047729,0.222171,0.545403,6.282737
0.020000,0.004776,12.999999,0.008249,0.052391,0.233095,0.546163,6.282818
0.020000,0.003630,12.999999,0.009395,0.057271,0.244035,0.546999,6.282906
0.020000,0.002383,13.000000,0.010642,0.062371,0.254993,0.547915,6.283002
0.020000,0.001029,13.000000,0.011996,0.067691,0.265971,0.548915,6.283106
0.020000,0.007570,13.000000,0.018537,0.327061,12.968514,635.127139,0.000033
0.020000,0.035010,13.000003,0.045977,1.371993,52.246620,1963.905316,0.000154
0.020000,0.064338,13.000009,0.075305,1.466399,4.720265,-2376.317786,0.000284
0.020000,0.095553,13.000020,0.106520,1.560761,4.718116,-0.107410,0.000421
0.020000,0.128655,13.000036,0.139622,1.655077,4.715830,-0.114321,0.000567
0.020000,0.163642,13.000059,0.174608,1.749346,4.713405,-0.121229,0.000722
0.020000,0.200513,13.000089,0.211480,1.843562,4.710843,-0.128134,0.000885
0.020000,0.239280,13.000126,0.250247,1.938346,4.739158,1.415754,0.001056
0.020000,0.279957,13.000173,0.290924,2.033864,4.775913,1.837735,0.001236
0.020000,0.322517,13.000229,0.333484,2.128004,4.707008,-3.445231,0.001424
0.020000,0.366959,13.000297,0.377926,2.222082,4.703887,-0.156024,0.001621
0.020000,0.413281,13.000377,0.424248,2.316094,4.700629,-0.162921,0.001826
0.020000,0.461489,13.000470,0.472456,2.410440,4.717276,0.832332,0.002040
0.020000,0.511618,13.000578,0.522585,2.506418,4.798892,4.080796,0.002262
0.020000,0.563624,13.000702,0.574591,2.600311,4.694684,-5.210366,0.002493
0.020000,0.617506,13.000842,0.628473,2.694129,4.690868,-0.190839,0.002732
0.020000,0.673263,13.001002,0.684231,2.787867,4.686913,-0.197723,0.002980
0.020000,0.730944,13.001181,0.741912,2.884079,4.810592,6.183971,0.003237
0.020000,0.790506,13.001382,0.801474,2.978071,4.699584,-5.550425,0.003502
0.020000,0.851938,13.001605,0.862907,3.071648,4.678851,-1.036645,0.003776
0.020000,0.915250,13.001853,0.926219,3.165603,4.697770,0.945966,0.004058
0.020000,0.980485,13.002127,0.991455,3.261787,4.809223,5.572606,0.004349
0.020000,1.047588,13.002429,1.058558,3.355178,4.669509,-6.985686,0.004649
0.020000,1.116556,13.002760,1.127528,3.448469,4.664575,-0.246714,0.004957
0.020000,1.187444,13.003123,1.198416,3.544446,4.798833,6.712929,0.005275
0.020000,1.260173,13.003519,1.271146,3.636490,4.602211,-9.831113,0.005601
0.020000,1.334650,13.003948,1.345624,3.723895,4.370254,-11.597853,0.005935
0.020000,1.410850,13.004413,1.421826,3.810101,4.310285,-2.998421,0.006277
0.020000,1.488668,13.004915,1.499645,3.890957,4.042827,-13.372896,0.006627
0.020000,1.568002,13.005455,1.578981,3.966810,3.792612,-12.510765,0.006984
0.020000,1.648842,13.006035,1.659824,4.042106,3.764825,-1.389334,0.007348
0.020000,1.731060,13.006654,1.742044,4.111011,3.445245,-15.979005,0.007719
0.020000,1.814571,13.007315,1.825557,4.175680,3.233454,-10.589589,0.008096
0.020000,1.899368,13.008017,1.910358,4.240017,3.216834,-0.830990,0.008480
0.020000,1.985299,13.008763,1.996291,4.296671,2.832712,-19.206095,0.008869
0.020000,2.072325,13.009552,2.083321,4.351476,2.740235,-4.623848,0.009263
0.020000,2.160377,13.010385,2.171377,4.402824,2.567405,-8.641513,0.009663
0.020000,2.249332,13.011263,2.260337,4.447979,2.257786,-15.480921,0.010067
0.020000,2.339196,13.012186,2.350205,4.493418,2.271930,0.707179,0.010476
0.020000,2.429817,13.013154,2.440831,4.531306,1.894422,-18.875383,0.010889
0.020000,2.521151,13.014167,2.532171,4.567008,1.785098,-5.466188,0.011306
0.020000,2.613135,13.015227,2.624161,4.599460,1.622564,-8.126713,0.011726
0.020000,2.705640,13.016331,2.716672,4.625577,1.305839,-15.836254,0.012149
0.020000,2.798681,13.017481,2.809721,4.652448,1.343594,1.887749,0.012575
0.020000,2.892092,13.018676,2.903140,4.670924,0.923773,-20.991028,0.013003
0.020000,2.985853,13.019915,2.996909,4.688462,0.876923,-2.342540,0.013434
0.020000,3.079868,13.021199,3.090932,4.701172,0.635479,-12.072180,0.013866
0.020000,3.174046,13.022525,3.185120,4.709375,0.410157,-11.266116,0.014300
0.020000,3.268362,13.023894,3.279446,4.716294,0.345951,-3.210286,0.014735
0.020000,3.362668,13.025305,3.373762,4.715830,-0.023206,-18.457868,0.015170
0.020000,3.457008,13.026756,3.468114,4.717572,0.087114,5.516020,0.015606
0.020000,3.551313,13.028249,3.562430,4.715837,-0.086784,-8.694926,0.016043
0.020000,3.645618,13.029783,3.656748,4.715864,0.001393,4.408896,0.016480
0.020000,3.739922,13.031357,3.751064,4.715837,-0.001356,-0.137458,0.016918
0.020000,3.834191,13.032973,3.845348,4.714162,-0.083760,-4.120214,0.017356
0.020000,3.928493,13.034631,3.939664,4.715832,0.083505,8.363235,0.017795
0.020000,4.022747,13.036329,4.033934,4.713471,-0.118034,-10.076957,0.018234
0.020000,4.117028,13.038069,4.128230,4.714815,0.067174,9.260413,0.018674
0.020000,4.211280,13.039850,4.222499,4.713457,-0.067882,-6.752816,0.019115
0.020000,4.305525,13.041672,4.316762,4.713121,-0.016820,2.553120,0.019556
