dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000040,0.004000,0.200000,10.000000,6.282186
0.020000,0.000000,0.000000,0.000200,0.012000,0.400000,10.000000,6.282187
0.020000,0.000000,0.000000,0.000560,0.024000,0.600000,10.000000,6.282189
0.020000,0.000000,0.000000,0.001200,0.040000,0.800000,10.000000,6.282191
0.020000,0.000000,0.000000,0.002200,0.060000,1.000000,10.000000,6.282195
0.020000,0.000000,0.000000,0.003640,0.084000,1.200000,10.000000,6.282201
0.020000,0.000000,0.000000,0.005600,0.112000,1.400000,10.000000,6.282210
0.020000,0.000000,0.000000,0.008160,0.144000,1.600000,10.000000,6.282220
0.020000,0.000000,0.000000,0.011400,0.180000,1.800000,10.000000,6.282234
0.020000,0.000000,0.000000,0.015400,0.220000,2.000000,10.000000,6.282250
0.020000,0.000000,0.000000,0.020240,0.264000,2.200000,10.000000,6.282270
0.020000,0.000000,0.000000,0.026000,0.312000,2.400000,10.000000,6.282294
0.020000,0.000000,0.000000,0.032760,0.364000,2.600000,10.000000,6.282323
0.020000,0.000000,0.000000,0.040600,0.420000,2.800000,10.000000,6.282355
0.020000,0.000000,0.000000,0.049600,0.480000,3.000000,10.000000,6.282393
0.020000,0.000000,0.000000,0.059840,0.544000,3.200000,10.000000,6.282435
0.020000,0.000000,0.000000,0.071400,0.612000,3.400000,10.000000,6.282483
0.020000,0.000000,0.000000,0.084360,0.684000,3.600000,10.000000,6.282537
0.020000,0.000000,0.000000,0.098800,0.760000,3.800000,10.000000,6.282597
0.020000,0.000000,0.000000,0.114800,0.840000,4.000000,10.000000,6.282664
0.020000,0.000000,0.000000,0.132440,0.924000,4.200000,10.000000,6.282737
0.020000,0.000000,0.000000,0.151800,1.012000,4.400000,10.000000,6.282818
0.020000,0.000000,0.000000,0.172960,1.104000,4.600000,10.000000,6.282906
0.020000,0.000000,0.000000,0.196000,1.200000,4.800000,10.000000,6.283002
0.020000,0.000000,0.000000,0.221000,1.300000,5.000000,10.000000,6.283106
0.020000,0.008004,0.000000,0.248000,1.400000,5.000000,0.000000,0.000033
0.020000,0.037016,0.000003,0.277000,1.500000,5.000000,-0.000000,0.000154
0.020000,0.068024,0.000010,0.308000,1.600000,5.000000,0.000000,0.000284
0.020000,0.101029,0.000021,0.341000,1.700000,5.000000,0.000000,0.000421
0.020000,0.136029,0.000039,0.376000,1.800000,5.000000,-0.000000,0.000567
0.020000,0.173024,0.000062,0.413000,1.900000,5.000000,0.000000,0.000722
0.020000,0.212012,0.000094,0.452000,2.000000,5.000000,0.000000,0.000885
0.020000,0.253006,0.000133,0.493000,2.100000,5.000000,0.000000,0.001056
0.020000,0.296021,0.000183,0.536000,2.200000,5.000000,0.000000,0.001236
0.020000,0.341029,0.000243,0.581000,2.300000,5.000000,0.000000,0.001424
0.020000,0.388028,0.000314,0.628000,2.400000,5.000000,-0.000000,0.001621
0.020000,0.437017,0.000399,0.677000,2.500000,5.000000,0.000000,0.001826
0.020000,0.488004,0.000497,0.728000,2.600000,5.000000,0.000000,0.002040
0.020000,0.541022,0.000611,0.781000,2.700000,5.000000,0.000000,0.002262
0.020000,0.596029,0.000742,0.836000,2.800000,5.000000,0.000000,0.002493
0.020000,0.653023,0.000891,0.893000,2.900000,5.000000,-0.000000,0.002732
0.020000,0.712002,0.001059,0.952000,3.000000,5.000000,0.000000,0.002980
0.020000,0.773020,0.001249,1.013000,3.100000,5.000000,0.000000,0.003237
0.020000,0.836028,0.001461,1.076000,3.200000,5.000000,0.000000,0.003502
0.020000,0.901020,0.001698,1.141000,3.300000,5.000000,0.000000,0.003776
0.020000,0.968002,0.001960,1.208000,3.400000,5.000000,0.000000,0.004058
0.020000,1.037023,0.002250,1.277000,3.500000,5.000000,-0.000000,0.004349
0.020000,1.108024,0.002570,1.348000,3.600000,5.000000,0.000000,0.004649
0.020000,1.181003,0.002920,1.421000,3.700000,5.000000,0.000000,0.004957
0.020000,1.256016,0.003304,1.496000,3.800000,5.000000,-0.000000,0.005275
0.020000,1.332982,0.003722,1.572960,3.896000,4.800000,-10.000000,0.005601
0.020000,1.411802,0.004177,1.651800,3.988000,4.600000,-10.000000,0.005935
0.020000,1.492452,0.004670,1.732440,4.076000,4.400000,-10.000000,0.006277
0.020000,1.574817,0.005201,1.814800,4.160000,4.200000,-10.000000,0.006627
0.020000,1.658794,0.005772,1.898800,4.240000,4.000000,-10.000000,0.006984
0.020000,1.744369,0.006386,1.984360,4.316000,3.800000,-10.000000,0.007348
0.020000,1.831408,0.007041,2.071400,4.388000,3.600000,-10.000000,0.007719
0.020000,1.919823,0.007741,2.159840,4.456000,3.400000,-10.000000,0.008096
0.020000,2.009605,0.008485,2.249600,4.520000,3.200000,-10.000000,0.008480
0.020000,2.100592,0.009274,2.340600,4.580000,3.000000,-10.000000,0.008869
0.020000,2.192746,0.010110,2.432760,4.636000,2.800000,-10.000000,0.009263
0.020000,2.285994,0.010992,2.526000,4.688000,2.600000,-10.000000,0.009663
0.020000,2.380204,0.011921,2.620240,4.736000,2.400000,-10.000000,0.010067
0.020000,2.475382,0.012899,2.715400,4.780000,2.200000,-10.000000,0.010476
0.020000,2.571370,0.013924,2.811400,4.820000,2.000000,-10.000000,0.010889
0.020000,2.668121,0.014998,2.908160,4.856000,1.800000,-10.000000,0.011306
0.020000,2.765566,0.016120,3.005600,4.888000,1.600000,-10.000000,0.011726
0.020000,2.863570,0.017290,3.103640,4.916000,1.400000,-10.000000,0.012149
0.020000,2.962151,0.018509,3.202200,4.940000,1.200000,-10.000000,0.012575
0.020000,3.061130,0.019775,3.301200,4.960000,1.000000,-10.000000,0.013003
0.020000,3.160488,0.021088,3.400560,4.976000,0.800000,-10.000000,0.013434
0.020000,3.260122,0.022448,3.500200,4.988000,0.600000,-10.000000,0.013866
0.020000,3.359937,0.023854,3.600040,4.996000,0.400000,-10.000000,0.014300
0.020000,3.459905,0.025306,3.700000,5.000000,0.200000,-10.000000,0.014735
0.020000,3.559871,0.026800,3.800000,5.000000,0.000000,-10.000000,0.015170
0.020000,3.659880,0.028340,3.900000,5.000000,0.000000,0.000000,0.015606
0.020000,3.759860,0.029922,4.000000,5.000000,0.000000,0.000000,0.016043
0.020000,3.859847,0.031548,4.100000,5.000000,0.000000,0.000000,0.016480
0.020000,3.959840,0.033218,4.200000,5.000000,0.000000,0.000000,0.016918
0.020000,4.059805,0.034931,4.300000,5.000000,0.000000,0.000000,0.017356
0.020000,4.159812,0.036689,4.400000,5.000000,0.000000,0.000000,0.017795
0.020000,4.259776,0.038490,4.500000,5.000000,0.000000,0.000000,0.018234
0.020000,4.359776,0.040335,4.600000,5.000000,0.000000,0.000000,0.018674
0.020000,4.459753,0.042225,4.700000,5.000000,0.000000,0.000000,0.019115
0.020000,4.559731,0.044158,4.800000,5.000000,0.000000,0.000000,0.019556
0.020000,4.659722,0.046136,4.900000,5.000000,0.000000,0.000000,0.019997
0.020000,4.759677,0.048157,5.000000,5.000000,0.000000,0.000000,0.020439
0.020000,4.859681,0.050223,5.100000,5.000000,0.000000,0.000000,0.020882
0.020000,4.959642,0.052333,5.200000,5.000000,0.000000,0.000000,0.021325
0.020000,5.059631,0.054488,5.300000,5.000000,0.000000,0.000000,0.021769
0.020000,5.159605,0.056687,5.400000,5.000000,0.000000,0.000000,0.022214
0.020000,5.259573,0.058930,5.500000,5.000000,0.000000,0.000000,0.022659
0.020000,5.359559,0.061218,5.600000,5.000000,0.000000,0.000000,0.023104
0.020000,5.459505,0.063550,5.700000,5.000000,0.000000,0.000000,0.023550
0.020000,5.559504,0.065928,5.800000,5.000000,0.000000,0.000000,0.023997
0.020000,5.659459,0.068350,5.900000,5.000000,0.000000,0.000000,0.024445
0.020000,5.759440,0.070816,6.000000,5.000000,0.000000,0.000000,0.024892
0.020000,5.859407,0.073328,6.100000,5.000000,0.000000,0.000000,0.025341
0.020000,5.959366,0.075884,6.200000,5.000000,0.000000,0.000000,0.025790
0.020000,6.059346,0.078485,6.300000,5.000000,0.000000,0.000000,0.026239
0.020000,6.159283,0.081131,6.400000,5.000000,0.000000,0.000000,0.026690
0.020000,6.259275,0.083823,6.500000,5.000000,0.000000,0.000000,0.027140
0.020000,6.359223,0.086559,6.600000,5.000000,0.000000,0.000000,0.027592
0.020000,6.459194,0.089340,6.700000,5.000000,0.000000,0.000000,0.028044
0.020000,6.559154,0.092167,6.800000,5.000000,0.000000,0.000000,0.028496
0.020000,6.659103,0.095038,6.900000,5.000000,0.000000,0.000000,0.028949
0.020000,6.759075,0.097956,7.000000,5.000000,0.000000,0.000000,0.029403
0.020000,6.859002,0.100918,7.100000,5.000000,0.000000,0.000000,0.029857
0.020000,6.958985,0.103927,7.200000,5.000000,0.000000,0.000000,0.030312
0.020000,7.058925,0.106980,7.300000,5.000000,0.000000,0.000000,0.030767
0.020000,7.158886,0.110079,7.400000,5.000000,0.000000,0.000000,0.031223
0.020000,7.258836,0.113223,7.500000,5.000000,0.000000,0.000000,0.031680
0.020000,7.358776,0.116413,7.600000,5.000000,0.000000,0.000000,0.032137
0.020000,7.458738,0.119650,7.700000,5.000000,0.000000,0.000000,0.032595
0.020000,7.558656,0.122931,7.800000,5.000000,0.000000,0.000000,0.033053
0.020000,7.658629,0.126259,7.900000,5.000000,0.000000,0.000000,0.033512
0.020000,7.758557,0.129632,8.000000,5.000000,0.000000,0.000000,0.033971
0.020000,7.858509,0.133052,8.100000,5.000000,0.000000,0.000000,0.034432
0.020000,7.958448,0.136518,8.200000,5.000000,0.000000,0.000000,0.034892
0.020000,8.058379,0.140029,8.300000,5.000000,0.000000,0.000000,0.035353
0.020000,8.158328,0.143587,8.400000,5.000000,0.000000,0.000000,0.035815
0.020000,8.258237,0.147190,8.500000,5.000000,0.000000,0.000000,0.036278
0.020000,8.358197,0.150841,8.600000,5.000000,0.000000,0.000000,0.036741
0.020000,8.458111,0.154537,8.700000,5.000000,0.000000,0.000000,0.037205
0.020000,8.558055,0.158280,8.800000,5.000000,0.000000,0.000000,0.037669
0.020000,8.657980,0.162069,8.900000,5.000000,0.000000,0.000000,0.038134
0.020000,8.757902,0.165905,9.000000,5.000000,0.000000,0.000000,0.038599
0.020000,8.857836,0.169787,9.100000,5.000000,0.000000,0.000000,0.039065
0.020000,8.957737,0.173715,9.200000,5.000000,0.000000,0.000000,0.039532
0.020000,9.057681,0.177692,9.300000,5.000000,0.000000,0.000000,0.039999
0.020000,9.157581,0.181713,9.400000,5.000000,0.000000,0.000000,0.040467
0.020000,9.257515,0.185783,9.500000,5.000000,0.000000,0.000000,0.040936
0.020000,9.357424,0.189899,9.600000,5.000000,0.000000,0.000000,0.041405
0.020000,9.457337,0.194061,9.700000,5.000000,0.000000,0.000000,0.041875
0.020000,9.557255,0.198271,9.800000,5.000000,0.000000,0.000000,0.042345
0.020000,9.657147,0.202527,9.900000,5.000000,0.000000,0.000000,0.042816
0.020000,9.757074,0.206832,10.000000,5.000000,0.000000,0.000000,0.043287
0.020000,9.856956,0.211182,10.100000,5.000000,0.000000,0.000000,0.043760
0.020000,9.956881,0.215581,10.200000,5.000000,0.000000,0.000000,0.044232
0.020000,10.056772,0.220026,10.300000,5.000000,0.000000,0.000000,0.044706
0.020000,10.156676,0.224519,10.400000,5.000000,0.000000,0.000000,0.045180
0.020000,10.256575,0.229059,10.500000,5.000000,0.000000,0.000000,0.045654
0.020000,10.356458,0.233646,10.600000,5.000000,0.000000,0.000000,0.046130
0.020000,10.456366,0.238282,10.700000,5.000000,0.000000,0.000000,0.046606
0.020000,10.556229,0.242964,10.800000,5.000000,0.000000,0.000000,0.047082
0.020000,10.656145,0.247695,10.900000,5.000000,0.000000,0.000000,0.047559
0.020000,10.756015,0.252473,11.000000,5.000000,0.000000,0.000000,0.048037
0.020000,10.855910,0.257299,11.100000,5.000000,0.000000,0.000000,0.048515
0.020000,10.955789,0.262172,11.200000,5.000000,0.000000,0.000000,0.048994
0.020000,11.055662,0.267093,11.300000,5.000000,0.000000,0.000000,0.049474
0.020000,11.155549,0.272063,11.400000,5.000000,0.000000,0.000000,0.049954
0.020000,11.255402,0.277079,11.500000,5.000000,0.000000,0.000000,0.050435
0.020000,11.355296,0.282146,11.600000,5.000000,0.000000,0.000000,0.050916
0.020000,11.455145,0.287258,11.700000,5.000000,0.000000,0.000000,0.051398
0.020000,11.555030,0.292421,11.800000,5.000000,0.000000,0.000000,0.051881
0.020000,11.654886,0.297631,11.900000,5.000000,0.000000,0.000000,0.052364
0.020000,11.754750,0.302889,12.000000,5.000000,0.000000,0.000000,0.052848
0.020000,11.854613,0.308196,12.100000,5.000000,0.000000,0.000000,0.053333
0.020000,11.954457,0.313550,12.200000,5.000000,0.000000,0.000000,0.053818
0.020000,12.054327,0.318954,12.300000,5.000000,0.000000,0.000000,0.054304
0.020000,12.154151,0.324405,12.400000,5.000000,0.000000,0.000000,0.054791
0.020000,12.254027,0.329907,12.500000,5.000000,0.000000,0.000000,0.055278
0.020000,12.353857,0.335456,12.600000,5.000000,0.000000,0.000000,0.055766
0.020000,12.453712,0.341054,12.700000,5.000000,0.000000,0.000000,0.056254
