dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.012985,-12.999994,0.000040,0.004000,0.200000,10.000000,6.282186
0.020000,-0.012976,-12.999994,0.000049,0.000432,-0.178377,-18.918830,6.282187
0.020000,-0.012957,-12.999994,0.000068,0.000973,0.027029,10.270298,6.282189
0.020000,-0.012922,-12.999994,0.000103,0.001730,0.037841,0.540602,6.282191
0.020000,-0.012868,-12.999994,0.000157,0.002703,0.048654,0.540624,6.282195
0.020000,-0.012790,-12.999994,0.000235,0.003892,0.059467,0.540661,6.282201
0.020000,-0.012684,-12.999994,0.000341,0.005298,0.070281,0.540717,6.282210
0.020000,-0.012546,-12.999994,0.000479,0.006920,0.081097,0.540793,6.282220
0.020000,-0.012371,-12.999994,0.000654,0.008758,0.091915,0.540895,6.282234
0.020000,-0.012154,-12.999994,0.000870,0.010813,0.102736,0.541026,6.282250
0.020000,-0.011893,-12.999995,0.001132,0.013084,0.113560,0.541189,6.282270
0.020000,-0.011581,-12.999995,0.001444,0.015572,0.124387,0.541388,6.282294
0.020000,-0.011216,-12.999995,0.001809,0.018276,0.135220,0.541627,6.282323
0.020000,-0.010792,-12.999996,0.002233,0.021197,0.146058,0.541910,6.282355
0.020000,-0.010305,-12.999996,0.002720,0.024335,0.156903,0.542239,6.282393
0.020000,-0.009751,-12.999996,0.003274,0.027691,0.167755,0.542619,6.282435
0.020000,-0.009126,-12.999997,0.003899,0.031263,0.178616,0.543053,6.282483
0.020000,-0.008425,-12.999997,0.004600,0.035053,0.189487,0.543544,6.282537
0.020000,-0.007644,-12.999998,0.005381,0.039060,0.200369,0.544098,6.282597
0.020000,-0.006778,-12.999998,0.006247,0.043285,0.211263,0.544716,6.282664
0.020000,-0.005824,-12.999999,0.007201,0.047729,0.222171,0.545403,6.282737
0.020000,-0.004776,-12.999999,0.008249,0.052391,0.233095,0.546163,6.282818
0.020000,-0.003630,-12.999999,0.009395,0.057271,0.244035,0.546999,6.282906
0.020000,-0.002383,-13.000000,0.010642,0.062371,0.254993,0.547915,6.283002
0.020000,-0.001029,-13.000000,0.011996,0.067691,0.265971,0.548915,6.283106
0.020000,0.008437,-13.000000,0.021462,0.473326,20.281762,1000.789552,0.000033
0.020000,0.039021,-12.999997,0.052046,1.529185,52.792940,1625.558891,0.000154
0.020000,0.071711,-12.999990,0.084735,1.634473,5.264406,-2376.426730,0.000284
0.020000,0.106505,-12.999978,0.119530,1.739726,5.262678,-0.086362,0.000421
0.020000,0.143404,-12.999959,0.156429,1.844943,5.260840,-0.091905,0.000567
0.020000,0.182406,-12.999934,0.195431,1.950121,5.258891,-0.097444,0.000722
0.020000,0.223512,-12.999901,0.236536,2.055258,5.256832,-0.102977,0.000885
0.020000,0.266732,-12.999859,0.279757,2.161042,5.289242,1.620504,0.001056
0.020000,0.312086,-12.999807,0.325111,2.267665,5.331114,2.093582,0.001236
0.020000,0.359541,-12.999744,0.372566,2.372769,5.255224,-3.794475,0.001424
0.020000,0.409097,-12.999669,0.422122,2.477824,5.252718,-0.125296,0.001621
0.020000,0.460754,-12.999580,0.473779,2.582826,5.250102,-0.130807,0.001826
0.020000,0.514518,-12.999476,0.527543,2.688220,5.269729,0.981361,0.002040
0.020000,0.570427,-12.999356,0.583452,2.795458,5.361871,4.607080,0.002262
0.020000,0.628435,-12.999218,0.641460,2.900394,5.246810,-5.753055,0.002493
0.020000,0.688540,-12.999061,0.701566,3.005269,5.243748,-0.153078,0.002732
0.020000,0.750741,-12.998883,0.763767,3.110080,5.240577,-0.158558,0.002980
0.020000,0.815095,-12.998683,0.828121,3.217677,5.379853,6.963802,0.003237
0.020000,0.881551,-12.998459,0.894577,3.322824,5.257355,-6.124907,0.003502
0.020000,0.950101,-12.998210,0.963128,3.427536,5.235600,-1.087727,0.003776
0.020000,1.020754,-12.997933,1.033782,3.532699,5.258136,1.126794,0.004058
0.020000,1.093561,-12.997627,1.106590,3.640379,5.384004,6.293408,0.004349
0.020000,1.168460,-12.997290,1.181489,3.744971,5.229609,-7.719763,0.004649
0.020000,1.245449,-12.996920,1.258479,3.849485,5.225660,-0.197431,0.004957
0.020000,1.324588,-12.996515,1.337619,3.957028,5.377160,7.574972,0.005275
0.020000,1.405791,-12.996074,1.418824,4.060214,5.159316,-10.892205,0.005601
0.020000,1.488955,-12.995594,1.501989,4.158253,4.901967,-12.867436,0.005935
0.020000,1.574053,-12.995074,1.587088,4.254986,4.836630,-3.266841,0.006277
0.020000,1.660967,-12.994514,1.674004,4.345777,4.539549,-14.854079,0.006627
0.020000,1.749585,-12.993910,1.762624,4.431010,4.261630,-13.895929,0.006984
0.020000,1.839896,-12.993263,1.852937,4.515652,4.232117,-1.475667,0.007348
0.020000,1.931757,-12.992571,1.944801,4.593184,3.876584,-17.776615,0.007719
0.020000,2.025074,-12.991833,2.038121,4.666011,3.641361,-11.761179,0.008096
0.020000,2.119841,-12.991048,2.132891,4.738494,3.624177,-0.859172,0.008480
0.020000,2.215886,-12.990215,2.228939,4.802419,3.196224,-21.397673,0.008869
0.020000,2.313168,-12.989333,2.326225,4.864301,3.094110,-5.105724,0.009263
0.020000,2.411610,-12.988401,2.424672,4.922344,2.902120,-9.599459,0.009663
0.020000,2.511075,-12.987420,2.524142,4.973485,2.557088,-17.251602,0.010067
0.020000,2.611569,-12.986388,2.624641,5.024965,2.573973,0.844218,0.010476
0.020000,2.712924,-12.985305,2.726002,5.068021,2.152809,-21.058179,0.010889
0.020000,2.815090,-12.984171,2.828175,5.108650,2.031438,-6.068541,0.011306
0.020000,2.917997,-12.982986,2.931088,5.145659,1.850477,-9.048083,0.011726
0.020000,3.021501,-12.981750,3.034600,5.175597,1.496885,-17.679560,0.012149
0.020000,3.125621,-12.980463,3.138728,5.206393,1.539817,2.146591,0.012575
0.020000,3.230169,-12.979126,3.243284,5.227806,1.070613,-23.460187,0.013003
0.020000,3.335123,-12.977739,3.348247,5.248179,1.018674,-2.596996,0.013434
0.020000,3.440376,-12.976302,3.453510,5.263156,0.748837,-13.491830,0.013866
0.020000,3.545828,-12.974817,3.558972,5.273094,0.496901,-12.596808,0.014300
0.020000,3.651449,-12.973283,3.664604,5.281599,0.425263,-3.581896,0.014735
0.020000,3.757074,-12.971704,3.770241,5.281839,0.012007,-20.662787,0.015170
0.020000,3.862752,-12.970077,3.875932,5.284552,0.135656,6.182444,0.015606
0.020000,3.968406,-12.968405,3.981600,5.283371,-0.059070,-9.736312,0.016043
0.020000,4.074076,-12.966687,4.087283,5.284166,0.039771,4.942070,0.016480
0.020000,4.179759,-12.964922,4.192981,5.284902,0.036763,-0.150401,0.016918
0.020000,4.285419,-12.963111,4.298657,5.283791,-0.055533,-4.614813,0.017356
0.020000,4.391132,-12.961253,4.404385,5.286431,0.132015,9.377427,0.017795
0.020000,4.496806,-12.959349,4.510076,5.284554,-0.093845,-11.293014,0.018234
