dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000332,0.033231,1.661564,83.078195,0.000000
0.020000,0.000000,0.000000,0.001662,0.099694,3.323128,83.078195,0.000000
0.020000,0.000000,0.000000,0.004652,0.199388,4.984692,83.078195,0.000000
0.020000,0.000000,0.000000,0.009969,0.332313,6.646256,83.078195,0.000000
0.020000,0.000000,0.000000,0.018277,0.498469,8.307819,83.078195,0.000000
0.020000,0.006240,0.000000,0.030240,0.697857,9.969383,83.078195,0.000000
0.020000,0.022191,0.000000,0.046191,0.897245,9.969383,-0.000000,0.000000
0.020000,0.042130,0.000000,0.066130,1.096632,9.969383,0.000000,0.000000
0.020000,0.066057,0.000000,0.090057,1.296020,9.969383,0.000000,0.000000
0.020000,0.093971,0.000000,0.117971,1.495408,9.969383,-0.000000,0.000000
0.020000,0.125873,0.000000,0.149873,1.694795,9.969383,0.000000,0.000000
0.020000,0.161763,0.000000,0.185763,1.894183,9.969383,-0.000000,0.000000
0.020000,0.201640,0.000000,0.225640,2.093571,9.969383,-0.000000,0.000000
0.020000,0.245506,0.000000,0.269506,2.292958,9.969383,0.000000,0.000000
0.020000,0.293359,0.000000,0.317359,2.492346,9.969383,-0.000000,0.000000
0.020000,0.345199,0.000000,0.369199,2.691734,9.969383,0.000000,0.000000
0.020000,0.401028,0.000000,0.425028,2.891121,9.969383,-0.000000,0.000000
0.020000,0.460844,0.000000,0.484844,3.090509,9.969383,0.000000,0.000000
0.020000,0.524648,0.000000,0.548648,3.289897,9.969383,0.000000,0.000000
0.020000,0.592440,0.000000,0.616440,3.489284,9.969383,-0.000000,0.000000
0.020000,0.664220,0.000000,0.688220,3.688672,9.969383,0.000000,0.000000
0.020000,0.739987,0.000000,0.763987,3.888060,9.969383,-0.000000,0.000000
0.020000,0.819742,0.000000,0.843742,4.087447,9.969383,-0.000000,0.000000
0.020000,0.903485,0.000000,0.927485,4.286835,9.969383,0.000000,0.000000
0.020000,0.991216,0.000000,1.015216,4.486223,9.969383,-0.000000,0.000000
0.020000,1.082934,0.000000,1.106934,4.685610,9.969383,0.000000,0.000000
0.020000,1.178640,0.000000,1.202640,4.884998,9.969383,0.000000,0.000000
0.020000,1.278334,0.000000,1.302334,5.084386,9.969383,0.000000,0.000000
0.020000,1.382015,0.000000,1.406015,5.283773,9.969383,0.000000,0.000000
0.020000,1.489685,0.000000,1.513685,5.483161,9.969383,0.000000,0.000000
0.020000,1.601342,0.000000,1.625342,5.682549,9.969383,-0.000000,0.000000
0.020000,1.716987,0.000000,1.740987,5.881936,9.969383,0.000000,0.000000
0.020000,1.836619,0.000000,1.860619,6.081324,9.969383,0.000000,0.000000
0.020000,1.960240,0.000000,1.984240,6.280712,9.969383,-0.000000,0.000000
0.020000,2.087848,0.000000,2.111848,6.480099,9.969383,0.000000,0.000000
0.020000,2.219444,0.000000,2.243444,6.679487,9.969383,-0.000000,0.000000
0.020000,2.355027,0.000000,2.379027,6.878875,9.969383,-0.000000,0.000000
0.020000,2.494599,0.000000,2.518599,7.078262,9.969383,0.000000,0.000000
0.020000,2.638158,0.000000,2.662158,7.277650,9.969383,0.000000,0.000000
0.020000,2.785705,0.000000,2.809705,7.477038,9.969383,0.000000,0.000000
0.020000,2.937239,0.000000,2.961239,7.676425,9.969383,-0.000000,0.000000
0.020000,3.092762,0.000000,3.116762,7.875813,9.969383,0.000000,0.000000
0.020000,3.252272,0.000000,3.276272,8.075201,9.969383,-0.000000,0.000000
0.020000,3.415770,0.000000,3.439770,8.274588,9.969383,0.000000,0.000000
0.020000,3.583255,0.000000,3.607255,8.473976,9.969383,0.000000,0.000000
0.020000,3.754729,0.000000,3.778729,8.673364,9.969383,-0.000000,0.000000
0.020000,3.930190,0.000000,3.954190,8.872751,9.969383,0.000000,0.000000
0.020000,4.109639,0.000000,4.133639,9.072139,9.969383,-0.000000,0.000000
0.020000,4.293075,0.000000,4.317075,9.271527,9.969383,0.000000,0.000000
0.020000,4.480500,0.000000,4.504500,9.470914,9.969383,-0.000000,0.000000
0.020000,4.671912,0.000000,4.695912,9.670302,9.969383,0.000000,0.000000
0.020000,4.867312,0.000000,4.891312,9.869690,9.969383,0.000000,0.000000
0.020000,5.066699,0.000000,5.090699,10.069077,9.969383,-0.000000,0.000000
0.020000,5.270075,0.000000,5.294075,10.268465,9.969383,-0.000000,0.000000
0.020000,5.477438,0.000000,5.501438,10.467853,9.969383,0.000000,0.000000
0.020000,5.688789,0.000000,5.712789,10.667240,9.969383,-0.000000,0.000000
0.020000,5.904128,0.000000,5.928128,10.866628,9.969383,-0.000000,0.000000
0.020000,6.123454,0.000000,6.147454,11.066016,9.969383,0.000000,0.000000
0.020000,6.346768,0.000000,6.370768,11.265403,9.969383,-0.000000,0.000000
0.020000,6.574070,0.000000,6.598070,11.464791,9.969383,0.000000,0.000000
0.020000,6.805360,0.000000,6.829360,11.664179,9.969383,-0.000000,0.000000
0.020000,7.040637,0.000000,7.064637,11.863566,9.969383,0.000000,0.000000
0.020000,7.279903,0.000000,7.303903,12.062954,9.969383,-0.000000,0.000000
0.020000,7.523156,0.000000,7.547156,12.262342,9.969383,0.000000,0.000000
0.020000,7.770396,0.000000,7.794396,12.461729,9.969383,0.000000,0.000000
0.020000,8.021625,0.000000,8.045625,12.661117,9.969383,0.000000,0.000000
0.020000,8.276841,0.000000,8.300841,12.860505,9.969383,0.000000,0.000000
0.020000,8.536045,0.000000,8.560045,13.059892,9.969383,0.000000,0.000000
0.020000,8.799237,0.000000,8.823237,13.259280,9.969383,0.000000,0.000000
0.020000,9.066416,0.000000,9.090416,13.458668,9.969383,0.000000,0.000000
0.020000,9.337583,0.000000,9.361583,13.658055,9.969383,0.000000,0.000000
0.020000,9.612738,0.000000,9.636738,13.857443,9.969383,-0.000000,0.000000
0.020000,9.891881,0.000000,9.915881,14.056831,9.969383,0.000000,0.000000
0.020000,10.175012,0.000000,10.199012,14.256218,9.969383,0.000000,0.000000
0.020000,10.462130,0.000000,10.486130,14.455606,9.969383,0.000000,0.000000
0.020000,10.752903,0.000000,10.776903,14.621762,8.307819,-83.078195,0.000000
0.020000,11.046668,0.000000,11.070668,14.754687,6.646256,-83.078195,0.000000
0.020000,11.342759,0.000000,11.366759,14.854381,4.984692,-83.078195,0.000000
0.020000,11.640511,0.000000,11.664511,14.920844,3.323128,-83.078195,0.000000
0.020000,11.939260,0.000000,11.963260,14.954075,1.661564,-83.078195,0.000000
0.020000,12.238118,0.000000,12.262118,14.931675,-1.120009,-139.078641,0.000000
0.020000,12.536195,0.000000,12.560195,14.876043,-2.781573,-83.078195,0.000000
0.020000,12.832827,0.000000,12.856827,14.787181,-4.443137,-83.078195,0.000000
0.020000,13.127350,0.000000,13.151350,14.665087,-6.104701,-83.078195,0.000000
0.020000,13.419098,0.000000,13.443098,14.509761,-7.766264,-83.078195,0.000000
0.020000,13.707408,0.000000,13.731408,14.321205,-9.427828,-83.078195,0.000000
0.020000,13.991838,0.000000,14.015838,14.121817,-9.969383,-27.077749,0.000000
0.020000,14.272280,0.000000,14.296280,13.922429,-9.969383,-0.000000,0.000000
0.020000,14.548735,0.000000,14.572735,13.723042,-9.969383,-0.000000,0.000000
0.020000,14.821202,0.000000,14.845202,13.523654,-9.969383,0.000000,0.000000
0.020000,15.089681,0.000000,15.113681,13.324266,-9.969383,0.000000,0.000000
0.020000,15.354173,0.000000,15.378173,13.124879,-9.969383,-0.000000,0.000000
0.020000,15.614677,0.000000,15.638677,12.925491,-9.969383,0.000000,0.000000
0.020000,15.871192,0.000000,15.895192,12.726103,-9.969383,0.000000,0.000000
0.020000,16.123721,0.000000,16.147721,12.526716,-9.969383,0.000000,0.000000
0.020000,16.372261,0.000000,16.396261,12.327328,-9.969383,0.000000,0.000000
0.020000,16.616814,0.000000,16.640814,12.127940,-9.969383,0.000000,0.000000
0.020000,16.857379,0.000000,16.881379,11.928553,-9.969383,0.000000,0.000000
0.020000,17.093956,0.000000,17.117956,11.729165,-9.969383,-0.000000,0.000000
0.020000,17.326545,0.000000,17.350545,11.529777,-9.969383,0.000000,0.000000
0.020000,17.555147,0.000000,17.579147,11.330390,-9.969383,0.000000,0.000000
0.020000,17.779761,0.000000,17.803761,11.131002,-9.969383,0.000000,0.000000
0.020000,18.000387,0.000000,18.024387,10.931614,-9.969383,0.000000,0.000000
0.020000,18.217025,0.000000,18.241025,10.732227,-9.969383,0.000000,0.000000
0.020000,18.429676,0.000000,18.453676,10.532839,-9.969383,-0.000000,0.000000
0.020000,18.638339,0.000000,18.662339,10.333451,-9.969383,0.000000,0.000000
0.020000,18.843014,0.000000,18.867014,10.134064,-9.969383,-0.000000,0.000000
0.020000,19.043702,0.000000,19.067702,9.934676,-9.969383,0.000000,0.000000
0.020000,19.240401,0.000000,19.264401,9.735288,-9.969383,0.000000,0.000000
0.020000,19.433113,0.000000,19.457113,9.535901,-9.969383,0.000000,0.000000
0.020000,19.621837,0.000000,19.645837,9.336513,-9.969383,0.000000,0.000000
0.020000,19.806574,0.000000,19.830574,9.137125,-9.969383,0.000000,0.000000
0.020000,19.987322,0.000000,20.011322,8.937738,-9.969383,0.000000,0.000000
0.020000,20.164083,0.000000,20.188083,8.738350,-9.969383,0.000000,0.000000
0.020000,20.336856,0.000000,20.360856,8.538962,-9.969383,-0.000000,0.000000
0.020000,20.505642,0.000000,20.529642,8.339575,-9.969383,0.000000,0.000000
0.020000,20.670439,0.000000,20.694439,8.140187,-9.969383,0.000000,0.000000
0.020000,20.831249,0.000000,20.855249,7.940799,-9.969383,-0.000000,0.000000
0.020000,20.988071,0.000000,21.012071,7.741412,-9.969383,0.000000,0.000000
0.020000,21.140906,0.000000,21.164906,7.542024,-9.969383,0.000000,0.000000
0.020000,21.289752,0.000000,21.313752,7.342636,-9.969383,-0.000000,0.000000
0.020000,21.434611,0.000000,21.458611,7.143249,-9.969383,0.000000,0.000000
0.020000,21.575482,0.000000,21.599482,6.943861,-9.969383,0.000000,0.000000
0.020000,21.712366,0.000000,21.736366,6.744473,-9.969383,0.000000,0.000000
0.020000,21.845261,0.000000,21.869261,6.545086,-9.969383,0.000000,0.000000
0.020000,21.974169,0.000000,21.998169,6.345698,-9.969383,0.000000,0.000000
0.020000,22.099089,0.000000,22.123089,6.146310,-9.969383,0.000000,0.000000
0.020000,22.220021,0.000000,22.244021,5.946923,-9.969383,-0.000000,0.000000
0.020000,22.336966,0.000000,22.360966,5.747535,-9.969383,0.000000,0.000000
0.020000,22.449923,0.000000,22.473923,5.548147,-9.969383,-0.000000,0.000000
0.020000,22.558892,0.000000,22.582892,5.348760,-9.969383,0.000000,0.000000
0.020000,22.663873,0.000000,22.687873,5.149372,-9.969383,-0.000000,0.000000
0.020000,22.764867,0.000000,22.788867,4.949984,-9.969383,0.000000,0.000000
0.020000,22.861873,0.000000,22.885873,4.750597,-9.969383,0.000000,0.000000
0.020000,22.954891,0.000000,22.978891,4.551209,-9.969383,0.000000,0.000000
0.020000,23.043921,0.000000,23.067921,4.351821,-9.969383,0.000000,0.000000
0.020000,23.128963,0.000000,23.152963,4.152434,-9.969383,0.000000,0.000000
0.020000,23.210018,0.000000,23.234018,3.953046,-9.969383,0.000000,0.000000
0.020000,23.287085,0.000000,23.311085,3.753658,-9.969383,-0.000000,0.000000
0.020000,23.360165,0.000000,23.384165,3.554271,-9.969383,0.000000,0.000000
0.020000,23.429256,0.000000,23.453256,3.354883,-9.969383,-0.000000,0.000000
0.020000,23.494360,0.000000,23.518360,3.155495,-9.969383,-0.000000,0.000000
0.020000,23.555476,0.000000,23.579476,2.956108,-9.969383,0.000000,0.000000
0.020000,23.612604,0.000000,23.636604,2.756720,-9.969383,-0.000000,0.000000
0.020000,23.665745,0.000000,23.689745,2.557332,-9.969383,0.000000,0.000000
0.020000,23.714898,0.000000,23.738898,2.357945,-9.969383,-0.000000,0.000000
0.020000,23.760063,0.000000,23.784063,2.158557,-9.969383,0.000000,0.000000
0.020000,23.801240,0.000000,23.825240,1.959169,-9.969383,0.000000,0.000000
0.020000,23.838429,0.000000,23.862429,1.759782,-9.969383,-0.000000,0.000000
0.020000,23.871631,0.000000,23.895631,1.560394,-9.969383,0.000000,0.000000
0.020000,23.900845,0.000000,23.924845,1.361006,-9.969383,0.000000,0.000000
0.020000,23.926071,0.000000,23.950071,1.161619,-9.969383,-0.000000,0.000000
0.020000,23.947310,0.000000,23.971310,0.962231,-9.969383,0.000000,0.000000
0.020000,23.964561,0.000000,23.988561,0.762843,-9.969383,-0.000000,0.000000
0.020000,23.977824,0.000000,24.001824,0.563456,-9.969383,0.000000,0.000000
0.020000,23.987323,0.000000,24.011323,0.386468,-8.849374,56.000446,0.000000
