dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,122.406405,168.170384,0.000346,0.034602,1.730104,86.505190,6.282016
0.020000,122.406222,168.170384,0.000529,0.009158,-1.272183,-150.114334,6.282033
0.020000,122.405810,168.170384,0.000941,0.020605,0.572340,92.226146,6.282070
0.020000,122.405077,168.170385,0.001674,0.036627,0.801105,11.438254,6.282137
0.020000,122.403933,168.170386,0.002818,0.057219,1.029608,11.425138,6.282241
0.020000,122.402285,168.170388,0.004466,0.082373,1.257681,11.403657,6.282391
0.020000,122.400044,168.170389,0.006707,0.112075,1.485115,11.371710,6.282594
0.020000,122.397118,168.170391,0.009633,0.146309,1.711659,11.327191,6.282860
0.020000,122.394371,168.170391,0.012380,0.137349,-0.447981,-107.981993,0.000011
0.020000,122.424408,168.170398,0.042418,1.501865,68.225802,3433.689137,0.000426
0.020000,122.460758,168.170422,0.078767,1.817484,15.780937,-2622.243229,0.000928
0.020000,122.504025,168.170475,0.122035,2.163363,17.293945,75.650382,0.001525
0.020000,122.554814,168.170571,0.172824,2.539464,18.805086,75.557059,0.002223
0.020000,122.613733,168.170725,0.231743,2.945949,20.324235,75.957435,0.003033
0.020000,122.681388,168.170962,0.299398,3.382778,21.841439,75.860220,0.003960
0.020000,122.758389,168.171307,0.376401,3.850112,23.366708,76.263428,0.005012
0.020000,122.845349,168.171795,0.463362,4.348043,24.896544,76.491804,0.006198
0.020000,122.942579,168.172462,0.560594,4.861620,25.678857,39.115639,0.007519
0.020000,123.050093,168.173349,0.668111,5.375871,25.712559,1.685140,0.008975
0.020000,123.167905,168.174500,0.785929,5.890890,25.750950,1.919509,0.010563
0.020000,123.296032,168.175963,0.914065,6.406774,25.794190,2.162023,0.012284
0.020000,123.434491,168.177792,1.052535,6.923530,25.837819,2.181439,0.014134
0.020000,123.583299,168.180043,1.201361,7.441285,25.887734,2.495740,0.016112
0.020000,123.742479,168.182776,1.360564,7.960153,25.943375,2.782046,0.018217
0.020000,123.912050,168.186054,1.530167,8.480133,25.999041,2.783342,0.020445
0.020000,124.092035,168.189947,1.710194,9.001348,26.060737,3.084787,0.022796
0.020000,124.282458,168.194524,1.900672,9.523902,26.127678,3.347043,0.025266
0.020000,124.483343,168.199861,2.101628,10.047830,26.196403,3.436255,0.027853
0.020000,124.694718,168.206036,2.313093,10.573223,26.269663,3.662992,0.030554
0.020000,124.916609,168.213130,2.535097,11.100224,26.350073,4.020505,0.033366
0.020000,125.149045,168.221229,2.767674,11.628837,26.430603,4.026498,0.036287
0.020000,125.392055,168.230420,3.010858,12.159194,26.517852,4.362468,0.039313
0.020000,125.645670,168.240793,3.264685,12.691376,26.609120,4.563393,0.042441
0.020000,125.909923,168.252443,3.529195,13.225465,26.704441,4.766043,0.045667
0.020000,126.184540,168.265450,3.804120,13.746261,26.039819,-33.231094,0.048985
0.020000,126.468944,168.279878,4.088889,14.238467,24.610294,-71.476255,0.052383
0.020000,126.762553,168.295784,4.382929,14.701998,23.176553,-71.687047,0.055850
0.020000,127.064786,168.313217,4.685664,15.136749,21.737540,-71.950674,0.059376
0.020000,127.375057,168.332219,4.996516,15.542604,20.292770,-72.238500,0.062951
0.020000,127.692778,168.352824,5.314905,15.919432,18.841380,-72.569492,0.066564
0.020000,128.017359,168.375056,5.640247,16.267084,17.382600,-72.938991,0.070205
0.020000,128.348207,168.398932,5.971955,16.585418,15.916707,-73.294647,0.073866
0.020000,128.684725,168.424456,6.309440,16.874261,14.442136,-73.728545,0.077535
0.020000,129.026315,168.451627,6.652109,17.133436,12.958761,-74.168776,0.081206
0.020000,129.372374,168.480431,6.999364,17.362759,11.466174,-74.629337,0.084869
0.020000,129.722295,168.510844,7.350605,17.562040,9.964004,-75.108516,0.088515
0.020000,130.075471,168.542834,7.705226,17.731078,8.451917,-75.604316,0.092137
0.020000,130.431289,168.576357,8.062620,17.869670,6.929628,-76.114477,0.095727
0.020000,130.789133,168.611361,8.422172,17.977608,5.396897,-76.636515,0.099278
0.020000,131.148385,168.647782,8.783266,18.054679,3.853542,-77.167753,0.102784
0.020000,131.508423,168.685549,9.145279,18.100668,2.299435,-77.705354,0.106237
0.020000,131.868934,168.724615,9.507900,18.131056,1.519386,-39.002461,0.109635
0.020000,132.229915,168.764963,9.871129,18.161455,1.519969,0.029128,0.112978
0.020000,132.591365,168.806577,10.234966,18.191860,1.520269,0.015012,0.116265
0.020000,132.953280,168.849441,10.599412,18.222266,1.520301,0.001582,0.119498
0.020000,133.315660,168.893538,10.964465,18.252650,1.519188,-0.055615,0.122675
0.020000,133.678503,168.938851,11.330125,18.283038,1.519376,0.009375,0.125796
0.020000,134.041806,168.985363,11.696394,18.313415,1.518872,-0.025184,0.128863
0.020000,134.405567,169.033059,12.063269,18.343775,1.517971,-0.045070,0.131874
0.020000,134.769787,169.081920,12.430751,18.374112,1.516866,-0.055229,0.134830
0.020000,135.134462,169.131930,12.798840,18.404423,1.515571,-0.064766,0.137731
0.020000,135.499592,169.183072,13.167534,18.434705,1.514097,-0.073692,0.140577
0.020000,135.865175,169.235328,13.536833,18.464954,1.512457,-0.082020,0.143368
0.020000,136.231211,169.288681,13.906736,18.495168,1.510661,-0.089763,0.146104
0.020000,136.597697,169.343115,14.277243,18.525342,1.508723,-0.096935,0.148785
0.020000,136.964634,169.398611,14.648353,18.555475,1.506652,-0.103548,0.151412
0.020000,137.332020,169.455152,15.020064,18.585553,1.503881,-0.138525,0.153984
0.020000,137.699854,169.512720,15.392376,18.615584,1.501578,-0.115140,0.156501
0.020000,138.068136,169.571298,15.765287,18.645579,1.499758,-0.091001,0.158963
0.020000,138.436865,169.630869,16.138798,18.675525,1.497270,-0.124430,0.161371
0.020000,138.806042,169.691414,16.512906,18.705419,1.494700,-0.128473,0.163725
0.020000,139.175665,169.752916,16.887611,18.735260,1.492060,-0.132040,0.166025
0.020000,139.545735,169.815356,17.262912,18.765047,1.489357,-0.135146,0.168270
0.020000,139.916252,169.878718,17.638808,18.794779,1.486601,-0.137804,0.170461
0.020000,140.287216,169.942983,18.015297,18.824455,1.483800,-0.140029,0.172599
0.020000,140.658627,170.008132,18.392378,18.854074,1.480963,-0.141835,0.174682
0.020000,141.030485,170.074149,18.770051,18.883636,1.478099,-0.143234,0.176712
0.020000,141.402791,170.141015,19.148314,18.913141,1.475214,-0.144241,0.178688
0.020000,141.775545,170.208712,19.527166,18.942587,1.472316,-0.144869,0.180611
0.020000,142.148749,170.277221,19.906605,18.971969,1.469099,-0.160869,0.182480
0.020000,142.522402,170.346525,20.286631,19.001287,1.465918,-0.159026,0.184296
0.020000,142.896505,170.416605,20.667242,19.030561,1.463659,-0.112966,0.186058
0.020000,143.271061,170.487443,21.048437,19.059776,1.460785,-0.143725,0.187768
0.020000,143.646070,170.559021,21.430216,19.088935,1.457931,-0.142661,0.189424
0.020000,144.021533,170.631319,21.812577,19.118037,1.455106,-0.141294,0.191028
0.020000,144.397452,170.704321,22.195519,19.147083,1.452313,-0.139636,0.192578
0.020000,144.773828,170.778007,22.579040,19.176074,1.449559,-0.137699,0.194076
0.020000,145.150664,170.852359,22.963140,19.205011,1.446849,-0.135494,0.195522
0.020000,145.527960,170.927358,23.347818,19.233895,1.444188,-0.133034,0.196915
0.020000,145.905718,171.002986,23.733073,19.262727,1.441582,-0.130329,0.198255
0.020000,146.283941,171.079224,24.118903,19.291507,1.439034,-0.127389,0.199544
0.020000,146.662631,171.156054,24.505308,19.320238,1.436549,-0.124227,0.200779
0.020000,147.041789,171.233456,24.892286,19.348921,1.434132,-0.120852,0.201963
0.020000,147.421419,171.311413,25.279837,19.377557,1.431787,-0.117275,0.203095
0.020000,147.801522,171.389905,25.667960,19.406147,1.429517,-0.113506,0.204175
0.020000,148.182101,171.468913,26.056654,19.434691,1.427166,-0.117557,0.205203
0.020000,148.563159,171.548419,26.445918,19.463189,1.424906,-0.112973,0.206179
0.020000,148.944698,171.628404,26.835751,19.491653,1.423243,-0.083148,0.207103
0.020000,149.326722,171.708849,27.226152,19.520080,1.421310,-0.096674,0.207975
0.020000,149.709233,171.789735,27.617122,19.548469,1.419468,-0.092094,0.208796
0.020000,150.092234,171.871043,28.008658,19.576823,1.417720,-0.087379,0.209566
0.020000,150.475728,171.952753,28.400761,19.605145,1.416070,-0.082537,0.210284
0.020000,150.859720,172.034847,28.793430,19.633435,1.414518,-0.077577,0.210950
0.020000,151.244211,172.117306,29.186664,19.661697,1.413068,-0.072508,0.211565
0.020000,151.629205,172.200110,29.580462,19.689931,1.411721,-0.067337,0.212129
0.020000,152.014707,172.283241,29.974825,19.718141,1.410480,-0.062074,0.212642
0.020000,152.400719,172.366678,30.369752,19.746327,1.409345,-0.056727,0.213103
0.020000,152.787245,172.450402,30.765242,19.774494,1.408319,-0.051303,0.213513
0.020000,153.174289,172.534395,31.161294,19.802642,1.407403,-0.045811,0.213872
0.020000,153.561855,172.618635,31.557910,19.830774,1.406598,-0.040258,0.214179
0.020000,153.949947,172.703105,31.955088,19.858892,1.405905,-0.034653,0.214436
0.020000,154.338568,172.787784,32.352828,19.886998,1.405325,-0.029002,0.214641
0.020000,154.727723,172.872653,32.751130,19.915096,1.404858,-0.023314,0.214796
0.020000,155.117416,172.957692,33.149993,19.943186,1.404506,-0.017596,0.214899
0.020000,155.507651,173.042881,33.549419,19.971271,1.404267,-0.011975,0.214951
0.020000,155.898433,173.128200,33.949406,19.999354,1.404166,-0.005055,0.214952
0.020000,156.289765,173.213629,34.349955,20.027438,1.404190,0.001218,0.214903
0.020000,156.681653,173.299149,34.751065,20.055524,1.404299,0.005434,0.214802
0.020000,157.074101,173.384738,35.152737,20.083615,1.404523,0.011187,0.214650
0.020000,157.467112,173.470378,35.554972,20.111712,1.404861,0.016926,0.214446
0.020000,157.860693,173.556047,35.957768,20.139818,1.405314,0.022642,0.214192
