dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,122.380680,146.170399,0.000346,0.034602,1.730104,86.505190,6.282016
0.020000,122.380863,146.170398,0.000529,0.009158,-1.272183,-150.114334,6.282033
0.020000,122.381275,146.170398,0.000941,0.020605,0.572340,92.226146,6.282070
0.020000,122.382008,146.170397,0.001674,0.036627,0.801105,11.438254,6.282137
0.020000,122.383152,146.170396,0.002818,0.057219,1.029608,11.425138,6.282241
0.020000,122.384800,146.170395,0.004466,0.082373,1.257681,11.403657,6.282391
0.020000,122.387041,146.170393,0.006707,0.112075,1.485115,11.371710,6.282594
0.020000,122.389967,146.170392,0.009633,0.146309,1.711659,11.327191,6.282860
0.020000,122.394622,146.170391,0.014288,0.232749,4.322038,130.518968,0.000011
0.020000,122.433791,146.170400,0.053457,1.958412,86.283127,4098.054452,0.000426
0.020000,122.481178,146.170432,0.100844,2.369346,20.546682,-3286.822260,0.000928
0.020000,122.537565,146.170501,0.157230,2.819349,22.500172,97.674482,0.001525
0.020000,122.603729,146.170625,0.223395,3.308248,24.444941,97.238462,0.002223
0.020000,122.680451,146.170827,0.300117,3.836102,26.392695,97.387708,0.003033
0.020000,122.768504,146.171134,0.388171,4.402686,28.329203,96.825371,0.003960
0.020000,122.868663,146.171584,0.488331,5.008008,30.266121,96.845917,0.005012
0.020000,122.981701,146.172217,0.601370,5.651956,32.197403,96.564096,0.006198
0.020000,123.107995,146.173084,0.727668,6.314855,33.144923,47.376006,0.007519
0.020000,123.247531,146.174234,0.867209,6.977051,33.109821,-1.755127,0.008975
0.020000,123.400294,146.175727,1.019978,7.638494,33.072149,-1.883557,0.010563
0.020000,123.566266,146.177623,1.185961,8.299134,33.032019,-2.006537,0.012284
0.020000,123.745426,146.179990,1.365137,8.958805,32.983549,-2.423477,0.014134
0.020000,123.937754,146.182899,1.557487,9.617491,32.934280,-2.463456,0.016112
0.020000,124.143227,146.186426,1.762990,10.275158,32.883365,-2.545754,0.018217
0.020000,124.361818,146.190652,1.981623,10.931625,32.823337,-3.001372,0.020445
0.020000,124.593502,146.195663,2.213360,11.586862,32.761848,-3.074466,0.022796
0.020000,124.838247,146.201545,2.458176,12.240817,32.697768,-3.204015,0.025266
0.020000,125.096023,146.208394,2.716043,12.893348,32.626546,-3.561103,0.027853
0.020000,125.366795,146.216304,2.986931,13.544381,32.551631,-3.745732,0.030554
0.020000,125.650528,146.225375,3.270809,14.193906,32.476273,-3.767921,0.033366
0.020000,125.947183,146.235712,3.567644,14.841734,32.391389,-4.244173,0.036287
0.020000,126.256719,146.247418,3.877401,15.487841,32.305357,-4.301604,0.039313
0.020000,126.579092,146.260604,4.200043,16.132134,32.214655,-4.535118,0.042441
0.020000,126.914257,146.275380,4.535534,16.774520,32.119280,-4.768728,0.045667
0.020000,127.261779,146.291840,4.883445,17.395590,31.053501,-53.288944,0.048985
0.020000,127.620838,146.310055,5.242966,17.976043,29.022651,-101.542520,0.052383
0.020000,127.990615,146.330086,5.613286,18.515972,26.996431,-101.310985,0.055850
0.020000,128.370294,146.351986,5.993595,19.015476,24.975189,-101.062116,0.059376
0.020000,128.759059,146.375795,6.383089,19.474674,22.959916,-100.763673,0.062951
0.020000,129.156099,146.401544,6.780963,19.893695,20.951040,-100.443754,0.066564
0.020000,129.560604,146.429250,7.186416,20.272675,18.949023,-100.100895,0.070205
0.020000,129.971771,146.458922,7.598652,20.611786,16.955526,-99.674807,0.073866
0.020000,130.388797,146.490553,8.016876,20.911182,14.969817,-99.285475,0.077535
0.020000,130.810884,146.524126,8.440296,21.171039,12.992847,-98.848471,0.081206
0.020000,131.237241,146.559613,8.868127,21.391541,11.025107,-98.387019,0.084869
0.020000,131.667078,146.596971,9.299585,21.572881,9.067010,-97.904875,0.088515
0.020000,132.099613,146.636149,9.733890,21.715259,7.118898,-97.405595,0.092137
0.020000,132.534066,146.677080,10.170268,21.818880,5.181047,-96.892533,0.095727
0.020000,132.969666,146.719689,10.607947,21.883954,3.253670,-96.368849,0.099278
0.020000,133.405646,146.763889,11.046160,21.910692,1.336920,-95.837520,0.102784
0.020000,133.841242,146.809581,11.484147,21.899310,-0.569107,-95.301345,0.106237
0.020000,134.276075,146.856701,11.921525,21.868927,-1.519128,-47.501045,0.109635
0.020000,134.710142,146.905217,12.358296,21.838533,-1.519690,-0.028115,0.112978
0.020000,135.143443,146.955104,12.794459,21.808134,-1.519975,-0.014224,0.116265
0.020000,135.575975,147.006330,13.230013,21.777734,-1.519995,-0.001008,0.119498
0.020000,136.007736,147.058869,13.664960,21.747318,-1.520822,-0.041330,0.122675
0.020000,136.438727,147.112693,14.099298,21.716926,-1.519569,0.062622,0.125796
0.020000,136.868946,147.167772,14.533029,21.686553,-1.518648,0.046044,0.128863
0.020000,137.298395,147.224080,14.966153,21.656199,-1.517733,0.045788,0.131874
0.020000,137.727072,147.281588,15.398670,21.625866,-1.516617,0.055759,0.134830
0.020000,138.154978,147.340269,15.830582,21.595560,-1.515315,0.065120,0.137731
0.020000,138.582114,147.400095,16.261887,21.565283,-1.513837,0.073882,0.140577
0.020000,139.008482,147.461040,16.692588,21.535039,-1.512196,0.082058,0.143368
0.020000,139.434081,147.523075,17.122685,21.504831,-1.510403,0.089661,0.146104
0.020000,139.858914,147.586174,17.552178,21.474662,-1.508469,0.096705,0.148785
0.020000,140.282982,147.650310,17.981069,21.444534,-1.506405,0.103202,0.151412
0.020000,140.706287,147.715457,18.409357,21.414436,-1.504887,0.075907,0.153984
0.020000,141.128831,147.781588,18.837045,21.384384,-1.502588,0.114926,0.156501
0.020000,141.550617,147.848676,19.264133,21.354394,-1.499524,0.153207,0.158963
0.020000,141.971647,147.916696,19.690622,21.324453,-1.497038,0.124285,0.161371
0.020000,142.391923,147.985621,20.116513,21.294563,-1.494474,0.128232,0.163725
0.020000,142.811450,148.055426,20.541808,21.264727,-1.491839,0.131713,0.166025
0.020000,143.230230,148.126085,20.966507,21.234944,-1.489145,0.134743,0.168270
0.020000,143.648266,148.197572,21.390611,21.205216,-1.486398,0.137334,0.170461
0.020000,144.065561,148.269863,21.814122,21.175544,-1.483608,0.139501,0.172599
0.020000,144.482120,148.342932,22.237040,21.145928,-1.480783,0.141256,0.174682
0.020000,144.897945,148.416754,22.659368,21.116369,-1.477931,0.142613,0.176712
0.020000,145.313041,148.491305,23.081105,21.086868,-1.475059,0.143584,0.178688
0.020000,145.727411,148.566560,23.502254,21.057425,-1.472175,0.144183,0.180611
0.020000,146.141060,148.642493,23.922814,21.028032,-1.469635,0.127003,0.182480
0.020000,146.553991,148.719082,24.342788,20.998691,-1.467055,0.129032,0.184296
0.020000,146.966209,148.796302,24.762176,20.969421,-1.463475,0.178972,0.186058
0.020000,147.377719,148.874128,25.180981,20.940209,-1.460611,0.143220,0.187768
0.020000,147.788524,148.952538,25.599202,20.911054,-1.457768,0.142132,0.189424
0.020000,148.198629,149.031507,26.016841,20.881955,-1.454953,0.140745,0.191028
0.020000,148.608039,149.111013,26.433899,20.852911,-1.452172,0.139073,0.192578
0.020000,149.016758,149.191031,26.850378,20.823923,-1.449429,0.137124,0.194076
