dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,194.210917,113.491185,0.000346,0.034602,1.730104,86.505190,4.634291
0.020000,194.210897,113.490927,0.000605,0.012971,-1.081550,-140.582677,4.634268
0.020000,194.210851,113.490345,0.001189,0.029181,0.810494,94.602195,4.634215
0.020000,194.210770,113.489311,0.002226,0.051864,1.134137,16.182141,4.634121
0.020000,194.210643,113.487696,0.003846,0.081002,1.456929,16.139595,4.633973
0.020000,194.210461,113.485372,0.006178,0.116569,1.778328,16.069968,4.633761
0.020000,194.210211,113.482211,0.009348,0.158522,2.097659,15.966552,4.633473
0.020000,194.209884,113.478088,0.013484,0.206804,2.414113,15.822698,4.633097
0.020000,194.209469,113.472878,0.018711,0.261339,2.726750,15.631840,4.632622
0.020000,194.206484,113.435682,0.056027,1.865777,80.221895,3874.757248,4.632037
0.020000,194.202482,113.386203,0.105667,2.482017,30.811978,-2470.495840,4.631330
0.020000,194.197676,113.327350,0.164716,2.952448,23.521555,-364.521167,4.630492
0.020000,194.191977,113.258329,0.233972,3.462790,25.517087,99.776597,4.629512
0.020000,194.185287,113.178345,0.314235,4.013161,27.518595,100.075411,4.628381
0.020000,194.177502,113.086599,0.406311,4.603792,29.531502,100.645353,4.627088
0.020000,194.168508,112.982318,0.510979,5.233417,31.481297,97.489747,4.625626
0.020000,194.158183,112.864733,0.629016,5.901842,33.421238,96.997034,4.623986
0.020000,194.146430,112.733489,0.760786,6.588485,34.332136,45.544917,4.622168
0.020000,194.133180,112.588636,0.906243,7.272875,34.219520,-5.630818,4.620174
0.020000,194.118357,112.430228,1.065343,7.954992,34.105854,-5.683297,4.618009
0.020000,194.101882,112.258325,1.238034,8.634557,33.978227,-6.381328,4.615680
0.020000,194.083673,112.073027,1.424224,9.309497,33.747026,-11.560052,4.613191
0.020000,194.063637,111.874377,1.623882,9.982890,33.669614,-3.870614,4.610549
0.020000,194.041682,111.662462,1.836931,10.652459,33.478449,-9.558250,4.607759
0.020000,194.017712,111.437388,2.063279,11.317378,33.245957,-11.624611,4.604829
0.020000,193.991625,111.199221,2.302869,11.979538,33.108025,-6.896562,4.601764
0.020000,193.963319,110.948056,2.555624,12.637745,32.910341,-9.884231,4.598573
0.020000,193.932691,110.684000,2.821451,13.291352,32.680330,-11.500547,4.595262
0.020000,193.899633,110.407148,3.100270,13.940935,32.479178,-10.057604,4.591839
0.020000,193.864037,110.117586,3.392011,14.587055,32.305985,-8.659645,4.588313
0.020000,193.825798,109.815446,3.696562,15.227541,32.024307,-14.083881,4.584690
0.020000,193.784803,109.500805,4.013862,15.865001,31.872969,-7.566910,4.580979
0.020000,193.740951,109.173811,4.343783,16.496070,31.553453,-15.975787,4.577189
0.020000,193.694132,108.834549,4.686260,17.123847,31.388855,-8.229902,4.573327
0.020000,193.644297,108.483527,5.040802,17.727094,30.162338,-61.325870,4.569407
0.020000,193.591463,108.121634,5.406532,18.286493,27.969952,-109.619294,4.565444
0.020000,193.535658,107.749746,5.782584,18.802602,25.805477,-108.223754,4.561456
0.020000,193.476926,107.368726,6.168103,19.275966,23.668174,-106.865149,4.557457
0.020000,193.415326,106.979442,6.562231,19.706376,21.520530,-107.382205,4.553461
0.020000,193.350929,106.582734,6.964132,20.095039,19.433151,-104.368931,4.549481
0.020000,193.283817,106.179419,7.372993,20.443047,17.400410,-101.637070,4.545531
