dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,133.211481,103.080699,0.000346,0.034602,1.730104,86.505190,3.144413
0.020000,133.211481,103.080699,0.001730,0.103806,3.460208,86.505190,3.144371
0.020000,133.211481,103.080699,0.004844,0.207612,5.190311,86.505190,3.144276
0.020000,133.211481,103.080699,0.010381,0.346021,6.920415,86.505190,3.144107
0.020000,133.211481,103.080699,0.019031,0.519031,8.650519,86.505190,3.143843
0.020000,133.211481,103.080699,0.031488,0.726644,10.380623,86.505190,3.143463
0.020000,133.211481,103.080699,0.048443,0.968858,12.110727,86.505190,3.142947
0.020000,133.211481,103.080699,0.070588,1.245675,13.840830,86.505190,3.142273
0.020000,133.205852,103.080700,0.098616,1.557093,15.570934,86.505190,3.141422
0.020000,133.171260,103.080724,0.133218,1.903114,17.301038,86.505190,3.140374
0.020000,133.129384,103.080801,0.175087,2.283737,19.031142,86.505190,3.139109
0.020000,133.079565,103.080963,0.224913,2.698962,20.761246,86.505190,3.137609
0.020000,133.021077,103.081247,0.283391,3.148789,22.491349,86.505190,3.135855
0.020000,132.953266,103.081705,0.351211,3.633218,24.221453,86.505190,3.133832
0.020000,132.875418,103.082399,0.429066,4.152249,25.951557,86.505190,3.131523
0.020000,132.786843,103.083406,0.517647,4.705882,27.681661,86.505190,3.128912
0.020000,132.686852,103.084821,0.617647,5.294118,29.411765,86.505190,3.125987
0.020000,132.575099,103.086747,0.729412,5.882353,29.411765,0.000000,3.122743
0.020000,132.451595,103.089295,0.852941,6.470588,29.411765,-0.000000,3.119192
0.020000,132.316348,103.092586,0.988235,7.058824,29.411765,0.000000,3.115341
0.020000,132.169341,103.096751,1.135294,7.647059,29.411765,-0.000000,3.111202
0.020000,132.010604,103.101928,1.294118,8.235294,29.411765,0.000000,3.106785
0.020000,131.840138,103.108265,1.464706,8.823529,29.411765,0.000000,3.102102
0.020000,131.657947,103.115915,1.647059,9.411765,29.411765,-0.000000,3.097165
0.020000,131.464044,103.125039,1.841176,10.000000,29.411765,0.000000,3.091988
0.020000,131.258440,103.135805,2.047059,10.588235,29.411765,0.000000,3.086583
0.020000,131.041149,103.148385,2.264706,11.176471,29.411765,0.000000,3.080964
0.020000,130.812212,103.162952,2.494118,11.764706,29.411765,0.000000,3.075147
0.020000,130.571606,103.179691,2.735294,12.352941,29.411765,-0.000000,3.069144
0.020000,130.319398,103.198780,2.988235,12.941176,29.411765,0.000000,3.062973
0.020000,130.055577,103.220407,3.252941,13.529412,29.411765,0.000000,3.056647
0.020000,129.780177,103.244758,3.529412,14.117647,29.411765,-0.000000,3.050182
0.020000,129.493233,103.272018,3.817647,14.705882,29.411765,0.000000,3.043593
0.020000,129.194776,103.302374,4.117647,15.294118,29.411765,-0.000000,3.036897
0.020000,128.885179,103.335973,4.429066,15.847751,27.681661,-86.505190,3.030115
0.020000,128.565158,103.372910,4.751211,16.366782,25.951557,-86.505190,3.023277
