dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,133.180456,114.080656,0.000346,0.034602,1.730104,86.505190,3.144413
0.020000,133.180921,114.080657,0.000811,0.023246,-0.567821,-114.896257,3.144371
0.020000,133.181967,114.080660,0.001857,0.052295,1.452472,101.014683,3.144276
0.020000,133.183825,114.080665,0.003716,0.092943,2.032397,28.996211,3.144107
0.020000,133.186729,114.080672,0.006619,0.145157,2.610688,28.914563,3.143843
0.020000,133.190906,114.080680,0.010796,0.208883,3.186307,28.780936,3.143463
0.020000,133.196587,114.080689,0.016477,0.284042,3.757955,28.582441,3.142947
0.020000,133.203997,114.080697,0.023888,0.370524,4.324081,28.306288,3.142273
0.020000,133.207731,114.080700,0.027621,0.186676,-9.192393,-675.823703,3.141422
0.020000,133.184669,114.080716,0.050683,1.153103,48.321365,2875.687876,3.140374
0.020000,133.156709,114.080767,0.078643,1.397975,12.243575,-1803.889478,3.139109
0.020000,133.123388,114.080875,0.111965,1.666087,13.405611,58.101816,3.137609
0.020000,133.084187,114.081066,0.151166,1.960045,14.697916,64.615215,3.135855
0.020000,133.038629,114.081373,0.196725,2.277996,15.897550,59.981703,3.133832
0.020000,132.986182,114.081841,0.249174,2.622410,17.220713,66.158147,3.131523
0.020000,132.926323,114.082522,0.309037,2.993156,18.537290,65.828878,3.128912
0.020000,132.858512,114.083481,0.376855,3.390892,19.886795,67.475232,3.125987
0.020000,132.782429,114.084793,0.452950,3.804746,20.692716,40.296052,3.122743
0.020000,132.697983,114.086535,0.537413,4.223173,20.921354,11.431905,3.119192
0.020000,132.605078,114.088796,0.630346,4.646640,21.173337,12.599151,3.115341
0.020000,132.503587,114.091671,0.731877,5.076549,21.495453,16.105801,3.111202
0.020000,132.393411,114.095265,0.842112,5.511750,21.760020,13.228341,3.106785
0.020000,132.274422,114.099688,0.961183,5.953554,22.090240,16.511008,3.102102
0.020000,132.146487,114.105061,1.089231,6.402395,22.442030,17.589523,3.097165
0.020000,132.009474,114.111509,1.226395,6.858230,22.791724,17.484689,3.091988
0.020000,131.863244,114.119166,1.372826,7.321514,23.164211,18.624320,3.086583
0.020000,131.707655,114.128174,1.528676,7.792496,23.549125,19.245708,3.080964
0.020000,131.542579,114.138678,1.694086,8.270500,23.900168,17.552177,3.075147
0.020000,131.367839,114.150835,1.869247,8.758087,24.379344,23.958761,3.069144
0.020000,131.183323,114.164802,2.054292,9.252229,24.707130,16.389341,3.062973
0.020000,130.988855,114.180745,2.249412,9.756015,25.189319,24.109428,3.056647
0.020000,130.784295,114.198832,2.454770,10.267889,25.593657,20.216889,3.050182
0.020000,130.569501,114.219239,2.670531,10.788060,26.008582,20.746244,3.043593
0.020000,130.344329,114.242142,2.896865,11.316711,26.432529,21.197349,3.036897
0.020000,130.108895,114.267694,3.133681,11.840782,26.203559,-11.448482,3.030115
0.020000,129.863591,114.296008,3.380614,12.346633,25.292563,-45.549783,3.023277
0.020000,129.608828,114.327184,3.637277,12.833174,24.327035,-48.276394,3.016411
0.020000,129.345059,114.361303,3.903244,13.298327,23.257651,-53.469215,3.009544
0.020000,129.072703,114.398432,4.178120,13.743790,22.273156,-49.224771,3.002698
0.020000,128.792264,114.438615,4.461422,14.165127,21.066856,-60.314978,2.995896
