dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,199.970446,135.000040,0.000333,0.033284,1.664177,83.208828,3.138906
0.020000,199.970801,135.000039,0.000687,0.017725,-0.777941,-122.105881,3.138938
0.020000,199.971598,135.000037,0.001485,0.039882,1.107848,94.289467,3.139011
0.020000,199.973016,135.000033,0.002903,0.070904,1.551138,22.164499,3.139140
0.020000,199.975232,135.000028,0.005119,0.110798,1.994659,22.176043,3.139341
0.020000,199.978424,135.000021,0.008310,0.159569,2.438557,22.194911,3.139631
0.020000,199.982680,135.000014,0.012566,0.212795,2.661331,11.138668,3.140018
0.020000,199.988001,135.000007,0.017887,0.266054,2.662912,0.079065,3.140502
0.020000,199.994388,135.000001,0.024274,0.319351,2.664882,0.098491,3.141082
0.020000,199.994931,135.000000,0.024818,0.027175,-14.608838,-863.685969,3.141760
0.020000,199.971492,134.999987,0.048257,1.171945,57.238506,3592.367199,3.142536
0.020000,199.945146,134.999950,0.074603,1.317314,7.268469,-2498.501866,3.143408
0.020000,199.915896,134.999883,0.103853,1.462511,7.259833,-0.431797,3.144378
0.020000,199.883706,134.999776,0.136044,1.609527,7.350840,4.550334,3.145448
0.020000,199.848629,134.999620,0.171120,1.753831,7.215166,-6.783675,3.146615
0.020000,199.810633,134.999405,0.209117,1.899838,7.300336,4.258500,3.147882
0.020000,199.769749,134.999120,0.250002,2.044247,7.220480,-3.992839,3.149248
0.020000,199.725958,134.998753,0.293795,2.189623,7.268809,2.416453,3.150714
0.020000,199.679297,134.998291,0.340459,2.333199,7.178810,-4.499911,3.152279
0.020000,199.629725,134.997720,0.390034,2.478753,7.277659,4.942430,3.153947
0.020000,199.577293,134.997026,0.442470,2.621805,7.152607,-6.252592,3.155715
0.020000,199.521991,134.996193,0.497778,2.765435,7.181492,1.444227,3.157585
0.020000,199.463808,134.995205,0.555969,2.909553,7.205916,1.221240,3.159558
0.020000,199.402777,134.994045,0.617012,3.052104,7.127530,-3.919313,3.161634
0.020000,199.338902,134.992695,0.680901,3.194489,7.119261,-0.413448,3.163813
0.020000,199.272187,134.991136,0.747635,3.336665,7.108800,-0.523073,3.166096
0.020000,199.202626,134.989348,0.817218,3.479174,7.125436,0.831834,3.168485
0.020000,199.130239,134.987311,0.889633,3.620764,7.079544,-2.294603,3.170980
0.020000,199.055039,134.985003,0.964870,3.761812,7.052371,-1.358686,3.173581
0.020000,198.977032,134.982401,1.042919,3.902488,7.033828,-0.927149,3.176289
0.020000,198.896230,134.979482,1.123774,4.042756,7.013364,-1.023204,3.179105
0.020000,198.812642,134.976223,1.207426,4.182577,6.991048,-1.115762,3.182030
0.020000,198.726279,134.972598,1.293864,4.321916,6.966958,-1.204512,3.185064
0.020000,198.637143,134.968580,1.383091,4.461351,6.971782,0.241192,3.188208
0.020000,198.545248,134.964143,1.475093,4.600099,6.937370,-1.720617,3.191464
0.020000,198.450614,134.959260,1.569854,4.738010,6.895561,-2.090433,3.194832
0.020000,198.353255,134.953902,1.667360,4.875310,6.865000,-1.528063,3.198313
0.020000,198.253179,134.948040,1.767607,5.012355,6.852257,-0.637118,3.201907
0.020000,198.150380,134.941641,1.870605,5.149924,6.878418,1.308028,3.205616
0.020000,198.044901,134.934676,1.976314,5.285434,6.775541,-5.143867,3.209440
0.020000,197.936737,134.927112,2.084742,5.421397,6.798146,1.130291,3.213380
0.020000,197.825902,134.918916,2.195879,5.556868,6.773529,-1.230864,3.217438
0.020000,197.712422,134.910054,2.309706,5.691313,6.722267,-2.563083,3.221613
0.020000,197.596293,134.900491,2.426227,5.826085,6.738605,0.816864,3.225907
0.020000,197.477542,134.890191,2.545424,5.959832,6.687352,-2.562627,3.230321
0.020000,197.356187,134.879118,2.667283,6.092946,6.655691,-1.583060,3.234855
0.020000,197.232220,134.867232,2.791818,6.226782,6.691789,1.804885,3.239511
0.020000,197.105682,134.854497,2.918996,6.358872,6.604500,-4.364421,3.244288
0.020000,196.976584,134.840872,3.048811,6.490767,6.594773,-0.486384,3.249188
0.020000,196.844921,134.826317,3.181276,6.623243,6.623802,1.451452,3.254212
0.020000,196.710722,134.810790,3.316370,6.754689,6.572282,-2.575992,3.259359
0.020000,196.574006,134.794249,3.454083,6.885675,6.549300,-1.149108,3.264632
0.020000,196.434785,134.776651,3.594412,7.016428,6.537646,-0.582665,3.270029
0.020000,196.293074,134.757952,3.737351,7.146947,6.525956,-0.584501,3.275552
0.020000,196.148889,134.738106,3.882896,7.277237,6.514476,-0.574021,3.281202
0.020000,196.002245,134.717067,4.031042,7.407306,6.503462,-0.550702,3.286978
0.020000,195.853157,134.694789,4.181785,7.537169,6.493181,-0.514048,3.292881
