dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.566464,290.346203,0.000332,0.033209,1.660446,83.022302,0.000661
0.020000,0.566464,290.346203,0.001660,0.099627,3.320892,83.022302,0.000649
0.020000,0.566464,290.346203,0.004649,0.199254,4.981338,83.022302,0.000621
0.020000,0.566464,290.346203,0.009963,0.332089,6.641784,83.022302,0.000572
0.020000,0.566464,290.346203,0.018265,0.498134,8.302230,83.022302,0.000496
0.020000,0.566464,290.346203,0.030220,0.697387,9.962676,83.022302,0.000385
0.020000,0.566464,290.346203,0.046160,0.896641,9.962676,0.000000,0.000238
0.020000,0.566464,290.346203,0.066086,1.095894,9.962676,0.000000,0.000054
0.020000,0.584587,290.346201,0.089996,1.295148,9.962676,-0.000000,6.283018
0.020000,0.612483,290.346193,0.117892,1.494401,9.962676,0.000000,6.282759
0.020000,0.644361,290.346175,0.149772,1.693655,9.962676,0.000000,6.282464
0.020000,0.680229,290.346143,0.185638,1.892908,9.962676,0.000000,6.282131
0.020000,0.720078,290.346094,0.225489,2.092162,9.962676,-0.000000,6.281760
0.020000,0.763915,290.346022,0.269324,2.291416,9.962676,0.000000,6.281352
0.020000,0.811737,290.345924,0.317145,2.490669,9.962676,0.000000,6.280906
0.020000,0.863540,290.345793,0.368951,2.689923,9.962676,0.000000,6.280422
0.020000,0.919330,290.345624,0.424742,2.889176,9.962676,0.000000,6.279900
0.020000,0.979108,290.345411,0.484518,3.088430,9.962676,0.000000,6.279339
0.020000,1.042869,290.345147,0.548279,3.287683,9.962676,-0.000000,6.278739
0.020000,1.110615,290.344824,0.616025,3.486937,9.962676,0.000000,6.278101
0.020000,1.182345,290.344435,0.687757,3.686190,9.962676,0.000000,6.277423
0.020000,1.258060,290.343972,0.763473,3.885444,9.962676,0.000000,6.276705
0.020000,1.337758,290.343425,0.843174,4.084697,9.962676,0.000000,6.275948
0.020000,1.421441,290.342786,0.926861,4.283951,9.962676,-0.000000,6.275150
0.020000,1.509110,290.342045,1.014533,4.483204,9.962676,0.000000,6.274312
0.020000,1.600765,290.341191,1.106189,4.682458,9.962676,-0.000000,6.273433
0.020000,1.696400,290.340214,1.201831,4.881711,9.962676,0.000000,6.272512
0.020000,1.796020,290.339103,1.301458,5.080965,9.962676,-0.000000,6.271549
0.020000,1.899626,290.337846,1.405069,5.280218,9.962676,0.000000,6.270545
