dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.573737,279.346205,0.000332,0.033209,1.660446,83.022302,0.000661
0.020000,0.573602,279.346205,0.000467,0.006744,-1.323225,-149.183550,0.000649
0.020000,0.573299,279.346205,0.000770,0.015176,0.421576,87.240038,0.000621
0.020000,0.572759,279.346205,0.001310,0.026983,0.590344,8.438434,0.000572
0.020000,0.571916,279.346204,0.002154,0.042169,0.759325,8.449050,0.000496
0.020000,0.570701,279.346204,0.003368,0.060742,0.928654,8.466440,0.000385
0.020000,0.569080,279.346203,0.004989,0.081024,1.014080,4.271270,0.000238
0.020000,0.567054,279.346203,0.007016,0.101335,1.015543,0.073168,0.000054
0.020000,0.582742,279.346202,0.022704,0.784417,34.154097,1656.927696,6.283018
0.020000,0.607796,279.346194,0.047758,1.252703,23.414294,-536.990134,6.282759
0.020000,0.636423,279.346178,0.076385,1.431331,8.931420,-724.143716,6.282464
0.020000,0.668628,279.346149,0.108590,1.610274,8.947168,0.787402,6.282131
0.020000,0.704402,279.346105,0.144364,1.788679,8.920244,-1.346219,6.281760
0.020000,0.743749,279.346041,0.183711,1.967357,8.933888,0.682198,6.281352
0.020000,0.786664,279.345952,0.226626,2.145780,8.921153,-0.636724,6.280906
0.020000,0.833144,279.345835,0.273106,2.323971,8.909533,-0.581016,6.280422
0.020000,0.883188,279.345684,0.323151,2.502241,8.913523,0.199512,6.279900
0.020000,0.936797,279.345493,0.376759,2.680434,8.909662,-0.193071,6.279339
0.020000,0.993963,279.345256,0.433926,2.858327,8.894603,-0.752943,6.278739
0.020000,1.054684,279.344966,0.494648,3.036100,8.888652,-0.297558,6.278101
0.020000,1.118958,279.344618,0.558922,3.213730,8.881502,-0.357468,6.277423
0.020000,1.186780,279.344203,0.626746,3.391193,8.873145,-0.417865,6.276705
0.020000,1.258148,279.343713,0.698116,3.568464,8.863570,-0.478762,6.275948
0.020000,1.333056,279.343141,0.773026,3.745519,8.852766,-0.540171,6.275150
0.020000,1.411504,279.342478,0.851477,3.922567,8.852374,-0.019620,6.274312
0.020000,1.493487,279.341714,0.933463,4.099308,8.837049,-0.766239,6.273433
0.020000,1.578996,279.340841,1.018976,4.275650,8.817109,-0.996999,6.272512
0.020000,1.668029,279.339848,1.108015,4.451939,8.814454,-0.132763,6.271549
0.020000,1.760583,279.338724,1.200576,4.628039,8.805018,-0.471789,6.270545
0.020000,1.856647,279.337460,1.296649,4.803649,8.780480,-1.226927,6.269497
0.020000,1.956223,279.336042,1.396235,4.979296,8.782335,0.092777,6.268407
0.020000,2.059300,279.334460,1.499324,5.154463,8.758373,-1.198101,6.267272
0.020000,2.165871,279.332702,1.605909,5.329230,8.738332,-1.002038,6.266094
