dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,155.311427,96.952289,0.000346,0.034602,1.730104,86.505190,6.281974
0.020000,155.311096,96.952289,0.000676,0.016520,-0.904088,-131.709587,6.282004
0.020000,155.310353,96.952290,0.001420,0.037174,1.032664,96.837582,6.282072
0.020000,155.309031,96.952292,0.002742,0.066096,1.446132,20.673393,6.282192
0.020000,155.306965,96.952293,0.004808,0.103301,1.860217,20.704267,6.282380
0.020000,155.303989,96.952295,0.007784,0.148807,2.275314,20.754838,6.282650
0.020000,155.299936,96.952297,0.011837,0.202645,2.691915,20.830056,6.283019
0.020000,155.309132,96.952299,0.021033,0.459793,12.857382,508.273373,0.000315
0.020000,155.330445,96.952312,0.042346,1.065663,30.293487,871.805213,0.000926
0.020000,155.356745,96.952346,0.068646,1.314980,12.465896,-891.379545,0.001681
0.020000,155.388541,96.952414,0.100441,1.589794,13.740678,63.739098,0.002596
0.020000,155.426351,96.952533,0.138252,1.890507,15.035662,64.749226,0.003688
0.020000,155.470685,96.952725,0.182587,2.216761,16.312679,63.850823,0.004974
0.020000,155.522047,96.953019,0.233949,2.568104,17.567176,62.724890,0.006470
0.020000,155.580925,96.953451,0.292829,2.943989,18.794214,61.351883,0.008196
0.020000,155.647811,96.954065,0.359718,3.344452,20.023145,61.446570,0.010167
0.020000,155.723184,96.954915,0.435095,3.768881,21.221465,59.915998,0.012405
0.020000,155.807260,96.956064,0.519179,4.204202,21.766084,27.230907,0.014922
0.020000,155.899981,96.957577,0.611912,4.636654,21.622573,-7.175552,0.017722
0.020000,156.001273,96.959529,0.713223,5.065536,21.444081,-8.924562,0.020811
0.020000,156.111071,96.962000,0.823049,5.491308,21.288630,-7.772562,0.024196
0.020000,156.229289,96.965078,0.941307,5.912903,21.079723,-10.445342,0.027884
0.020000,156.355840,96.968861,1.067915,6.330394,20.874564,-10.257961,0.031882
0.020000,156.490622,96.973450,1.202775,6.743009,20.630734,-12.191503,0.036199
0.020000,156.633538,96.978957,1.345797,7.151060,20.402564,-11.408507,0.040845
0.020000,156.784457,96.985501,1.496858,7.553083,20.101157,-15.070343,0.045828
0.020000,156.943260,96.993206,1.655847,7.949458,19.818742,-14.120720,0.051161
0.020000,157.109803,97.002208,1.822634,8.339311,19.492680,-16.303104,0.056854
0.020000,157.283935,97.012647,1.997078,8.722234,19.146136,-17.327203,0.062920
0.020000,157.465491,97.024672,2.179033,9.097709,18.773744,-18.619603,0.069373
