dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,155.298105,85.952297,0.000346,0.034602,1.730104,86.505190,6.281974
0.020000,155.298105,85.952297,0.001730,0.103806,3.460208,86.505190,6.282004
0.020000,155.298105,85.952297,0.004844,0.207612,5.190311,86.505190,6.282072
0.020000,155.298105,85.952297,0.010381,0.346021,6.920415,86.505190,6.282192
0.020000,155.298105,85.952297,0.019031,0.519031,8.650519,86.505190,6.282380
0.020000,155.298105,85.952297,0.031488,0.726644,10.380623,86.505190,6.282650
0.020000,155.298105,85.952297,0.048443,0.968858,12.110727,86.505190,6.283019
0.020000,155.312600,85.952299,0.070588,1.245675,13.840830,86.505190,0.000315
0.020000,155.340628,85.952317,0.098616,1.557093,15.570934,86.505190,0.000926
0.020000,155.375231,85.952362,0.133218,1.903114,17.301038,86.505190,0.001681
0.020000,155.417095,85.952451,0.175087,2.283737,19.031142,86.505190,0.002596
0.020000,155.466919,85.952608,0.224913,2.698962,20.761246,86.505190,0.003688
0.020000,155.525397,85.952861,0.283391,3.148789,22.491349,86.505190,0.004974
0.020000,155.593221,85.953249,0.351211,3.633218,24.221453,86.505190,0.006470
0.020000,155.671074,85.953820,0.429066,4.152249,25.951557,86.505190,0.008196
0.020000,155.759651,85.954633,0.517647,4.705882,27.681661,86.505190,0.010167
0.020000,155.859640,85.955762,0.617647,5.294118,29.411765,86.505190,0.012405
0.020000,155.971395,85.957289,0.729412,5.882353,29.411765,0.000000,0.014922
0.020000,156.094913,85.959305,0.852941,6.470588,29.411765,-0.000000,0.017722
0.020000,156.230180,85.961911,0.988235,7.058824,29.411765,0.000000,0.020811
0.020000,156.377204,85.965220,1.135294,7.647059,29.411765,-0.000000,0.024196
0.020000,156.535973,85.969354,1.294118,8.235294,29.411765,0.000000,0.027884
0.020000,156.706485,85.974451,1.464706,8.823529,29.411765,0.000000,0.031882
0.020000,156.888728,85.980656,1.647059,9.411765,29.411765,-0.000000,0.036199
0.020000,157.082706,85.988132,1.841176,10.000000,29.411765,0.000000,0.040845
0.020000,157.288393,85.997050,2.047059,10.588235,29.411765,0.000000,0.045828
0.020000,157.505785,86.007599,2.264706,11.176471,29.411765,0.000000,0.051161
0.020000,157.734862,86.019982,2.494118,11.764706,29.411765,0.000000,0.056854
0.020000,157.975603,86.034415,2.735294,12.352941,29.411765,-0.000000,0.062920
0.020000,158.227986,86.051131,2.988235,12.941176,29.411765,0.000000,0.069373
0.020000,158.491992,86.070383,3.252941,13.529412,29.411765,0.000000,0.076227
0.020000,158.767586,86.092437,3.529412,14.117647,29.411765,-0.000000,0.083498
0.020000,159.054717,86.117579,3.817647,14.705882,29.411765,0.000000,0.091202
0.020000,159.353359,86.146116,4.117647,15.294118,29.411765,-0.000000,0.099356
0.020000,159.663103,86.178336,4.429066,15.847751,27.681661,-86.505190,0.107970
0.020000,159.983213,86.214499,4.751211,16.366782,25.951557,-86.505190,0.117043
0.020000,160.312930,86.254856,5.083391,16.851211,24.221453,-86.505190,0.126575
0.020000,160.651502,86.299655,5.424913,17.301038,22.491349,-86.505190,0.136563
0.020000,160.998159,86.349132,5.775087,17.716263,20.761246,-86.505190,0.147008
0.020000,161.352133,86.403513,6.133218,18.096886,19.031142,-86.505190,0.157904
0.020000,161.712657,86.463011,6.498616,18.442907,17.301038,-86.505190,0.169249
0.020000,162.078936,86.527818,6.870588,18.754325,15.570934,-86.505190,0.181037
0.020000,162.450190,86.598113,7.248443,19.031142,13.840830,-86.505190,0.193262
0.020000,162.825631,86.674049,7.631488,19.273356,12.110727,-86.505190,0.205914
0.020000,163.204462,86.755756,8.019031,19.480969,10.380623,-86.505190,0.218984
0.020000,163.585881,86.843334,8.410381,19.653979,8.650519,-86.505190,0.232460
0.020000,163.969096,86.936856,8.804844,19.792388,6.920415,-86.505190,0.246326
0.020000,164.353298,87.036361,9.201730,19.896194,5.190311,-86.505190,0.260565
0.020000,164.737701,87.141853,9.600346,19.965398,3.460208,-86.505190,0.275158
0.020000,165.121500,87.253295,10.000000,20.000000,1.730104,-86.505190,0.290082
0.020000,165.503905,87.370613,10.400000,20.000000,0.000000,-86.505190,0.305312
0.020000,165.884460,87.493795,10.800000,20.000000,0.000000,0.000000,0.320832
0.020000,166.263040,87.622924,11.200000,20.000000,0.000000,0.000000,0.336641
0.020000,166.639510,87.758074,11.600000,20.000000,0.000000,0.000000,0.352733
0.020000,167.013735,87.899316,12.000000,20.000000,0.000000,0.000000,0.369103
0.020000,167.385584,88.046718,12.400000,20.000000,0.000000,0.000000,0.385746
0.020000,167.754905,88.200336,12.800000,20.000000,0.000000,0.000000,0.402654
0.020000,168.121551,88.360222,13.200000,20.000000,0.000000,0.000000,0.419818
0.020000,168.485385,88.526425,13.600000,20.000000,0.000000,0.000000,0.437228
0.020000,168.846244,88.698977,14.000000,20.000000,0.000000,0.000000,0.454872
0.020000,169.203987,88.877910,14.400000,20.000000,0.000000,0.000000,0.472738
0.020000,169.558455,89.063243,14.800000,20.000000,0.000000,0.000000,0.490812
0.020000,169.909494,89.254985,15.200000,20.000000,0.000000,0.000000,0.509079
0.020000,170.256958,89.453139,15.600000,20.000000,0.000000,0.000000,0.527522
0.020000,170.600691,89.657696,16.000000,20.000000,0.000000,0.000000,0.546124
0.020000,170.940544,89.868634,16.400000,20.000000,0.000000,0.000000,0.564867
0.020000,171.276370,90.085926,16.800000,20.000000,0.000000,0.000000,0.583730
0.020000,171.608026,90.309531,17.200000,20.000000,0.000000,0.000000,0.602694
0.020000,171.935373,90.539398,17.600000,20.000000,0.000000,0.000000,0.621736
0.020000,172.258277,90.775467,18.000000,20.000000,0.000000,0.000000,0.640837
0.020000,172.576608,91.017665,18.400000,20.000000,0.000000,0.000000,0.659972
0.020000,172.890244,91.265914,18.800000,20.000000,0.000000,0.000000,0.679120
0.020000,173.199070,91.520120,19.200000,20.000000,0.000000,0.000000,0.698259
0.020000,173.502979,91.780186,19.600000,20.000000,0.000000,0.000000,0.717365
0.020000,173.801871,92.046003,20.000000,20.000000,0.000000,0.000000,0.736416
0.020000,174.095654,92.317455,20.400000,20.000000,0.000000,0.000000,0.755390
0.020000,174.384248,92.594419,20.800000,20.000000,0.000000,0.000000,0.774267
0.020000,174.667579,92.876764,21.200000,20.000000,0.000000,0.000000,0.793024
0.020000,174.945583,93.164355,21.600000,20.000000,0.000000,0.000000,0.811643
0.020000,175.218208,93.457051,22.000000,20.000000,0.000000,0.000000,0.830103
0.020000,175.485409,93.754707,22.400000,20.000000,0.000000,0.000000,0.848388
0.020000,175.747153,94.057173,22.800000,20.000000,0.000000,0.000000,0.866479
0.020000,176.003413,94.364299,23.200000,20.000000,0.000000,0.000000,0.884362
0.020000,176.254176,94.675931,23.600000,20.000000,0.000000,0.000000,0.902022
0.020000,176.499433,94.991913,24.000000,20.000000,0.000000,0.000000,0.919445
0.020000,176.739187,95.312090,24.400000,20.000000,0.000000,0.000000,0.936620
0.020000,176.973449,95.636309,24.800000,20.000000,0.000000,0.000000,0.953536
0.020000,177.202237,95.964412,25.200000,20.000000,0.000000,0.000000,0.970183
0.020000,177.425577,96.296249,25.600000,20.000000,0.000000,0.000000,0.986554
0.020000,177.643503,96.631667,26.000000,20.000000,0.000000,0.000000,1.002641
0.020000,177.856054,96.970516,26.400000,20.000000,0.000000,0.000000,1.018440
0.020000,178.063275,97.312650,26.800000,20.000000,0.000000,0.000000,1.033945
0.020000,178.265217,97.657926,27.200000,20.000000,0.000000,0.000000,1.049153
0.020000,178.461938,98.006204,27.600000,20.000000,0.000000,0.000000,1.064062
0.020000,178.653498,98.357348,28.000000,20.000000,0.000000,0.000000,1.078670
0.020000,178.839962,98.711225,28.400000,20.000000,0.000000,0.000000,1.092976
0.020000,179.021397,99.067705,28.800000,20.000000,0.000000,0.000000,1.106981
0.020000,179.197877,99.426666,29.200000,20.000000,0.000000,0.000000,1.120687
0.020000,179.369474,99.787985,29.600000,20.000000,0.000000,0.000000,1.134093
0.020000,179.536265,100.151548,30.000000,20.000000,0.000000,0.000000,1.147204
0.020000,179.698331,100.517243,30.400000,20.000000,0.000000,0.000000,1.160021
0.020000,179.855749,100.884962,30.800000,20.000000,0.000000,0.000000,1.172548
0.020000,180.008601,101.254602,31.200000,20.000000,0.000000,0.000000,1.184789
0.020000,180.156971,101.626067,31.600000,20.000000,0.000000,0.000000,1.196747
0.020000,180.300939,101.999256,32.000000,20.000000,0.000000,0.000000,1.208428
0.020000,180.440590,102.374083,32.400000,20.000000,0.000000,0.000000,1.219835
0.020000,180.576007,102.750462,32.800000,20.000000,0.000000,0.000000,1.230975
0.020000,180.707273,103.128309,33.200000,20.000000,0.000000,0.000000,1.241851
0.020000,180.834471,103.507545,33.600000,20.000000,0.000000,0.000000,1.252470
0.020000,180.957682,103.888093,34.000000,20.000000,0.000000,0.000000,1.262836
