dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,155.284783,74.952305,0.000346,0.034602,1.730104,86.505190,6.281974
0.020000,155.285114,74.952305,0.000676,0.016520,-0.904088,-131.709587,6.282004
0.020000,155.285857,74.952304,0.001420,0.037174,1.032664,96.837582,6.282072
0.020000,155.287179,74.952302,0.002742,0.066096,1.446132,20.673393,6.282192
0.020000,155.289245,74.952301,0.004808,0.103301,1.860217,20.704267,6.282380
0.020000,155.292221,74.952299,0.007784,0.148807,2.275314,20.754838,6.282650
0.020000,155.296274,74.952297,0.011837,0.202645,2.691915,20.830056,6.283019
0.020000,155.316068,74.952300,0.031631,0.989722,39.353822,1833.095378,0.000315
0.020000,155.350810,74.952321,0.066373,1.737076,37.367717,-99.305264,0.000926
0.020000,155.393718,74.952377,0.109281,2.145403,20.416352,-847.568246,0.001681
0.020000,155.445650,74.952488,0.161213,2.596620,22.560849,107.224865,0.002596
0.020000,155.507487,74.952683,0.223051,3.091866,24.762325,110.073788,0.003688
0.020000,155.580109,74.952997,0.295673,3.631138,26.963559,110.061695,0.004974
0.020000,155.664396,74.953479,0.379961,4.214390,29.162611,109.952590,0.006470
0.020000,155.761224,74.954189,0.476792,4.841538,31.357410,109.739958,0.008196
0.020000,155.871491,74.955202,0.587064,5.513598,33.603019,112.280460,0.010167
0.020000,155.996097,74.956608,0.711677,6.230671,35.853633,112.530675,0.012405
0.020000,156.135530,74.958513,0.851124,6.972318,37.082339,61.435320,0.014922
0.020000,156.289844,74.961032,1.005459,7.716745,37.221346,6.950318,0.017722
0.020000,156.459087,74.964293,1.174732,8.463684,37.346937,6.279573,0.020811
0.020000,156.643337,74.968439,1.359029,9.214836,37.557610,10.533649,0.024196
0.020000,156.842657,74.973630,1.558417,9.969384,37.727394,8.489206,0.027884
0.020000,157.057130,74.980041,1.772986,10.728464,37.953995,11.330051,0.031882
0.020000,157.286834,74.987863,2.002822,11.491824,38.168039,10.702174,0.036199
0.020000,157.531874,74.997306,2.248045,12.261110,38.464309,14.813532,0.040845
0.020000,157.792329,75.008599,2.508744,13.034977,38.693341,11.451587,0.045828
0.020000,158.068310,75.021992,2.785050,13.815289,39.015595,16.112722,0.051161
0.020000,158.359920,75.037755,3.077086,14.601815,39.326291,15.534754,0.056854
0.020000,158.667272,75.056182,3.384990,15.395176,39.668062,17.088590,0.062920
0.020000,158.990481,75.077591,3.708907,16.195868,40.034591,18.326451,0.069373
0.020000,159.329682,75.102326,4.049009,17.005102,40.461678,21.354341,0.076227
0.020000,159.685000,75.130760,4.405462,17.822661,40.877970,20.814592,0.083498
0.020000,160.056545,75.163295,4.778429,18.648338,41.283849,20.293956,0.091202
0.020000,160.444477,75.200365,5.168129,19.484978,41.832009,27.407982,0.099356
0.020000,160.848464,75.242390,5.574295,20.308337,41.167918,-33.204540,0.107970
0.020000,161.267748,75.289758,5.996247,21.097558,39.461065,-85.342646,0.117043
0.020000,161.701534,75.342855,6.433271,21.851200,37.682126,-88.946940,0.126575
0.020000,162.149035,75.402068,6.884672,22.570084,35.944172,-86.897734,0.136563
0.020000,162.609425,75.467780,7.349728,23.252774,34.134517,-90.482717,0.147008
0.020000,163.081869,75.540363,7.827714,23.899334,32.327983,-90.326694,0.157904
0.020000,163.565523,75.620184,8.317911,24.509830,30.524786,-90.159851,0.169249
0.020000,164.059486,75.707586,8.819547,25.081823,28.599655,-96.256562,0.181037
0.020000,164.562861,75.802900,9.331866,25.615929,26.705329,-94.716321,0.193262
0.020000,165.074715,75.906430,9.854086,26.111005,24.753791,-97.576895,0.205914
0.020000,165.594086,76.018451,10.385400,26.565680,22.733770,-101.001026,0.218984
0.020000,166.119972,76.139204,10.924971,26.978572,20.644552,-104.460892,0.232460
0.020000,166.651362,76.268893,11.471958,27.349340,18.538426,-105.306330,0.246326
0.020000,167.187189,76.407670,12.025465,27.675374,16.301697,-111.836450,0.260565
0.020000,167.726391,76.555648,12.584604,27.956934,14.077989,-111.185384,0.275158
0.020000,168.267841,76.712871,13.148418,28.190708,11.688723,-119.463287,0.290082
0.020000,168.810402,76.879327,13.715939,28.376039,9.266562,-121.108058,0.305312
